id_contrato,id_proveedor,id_entidad,monto,modalidad,razon_social,nombre_entidad
C002347,P0166,E05,170241.16,Adjudicación Simplificada,Proveedor 0166 SAC,Entidad Pública 05
C700003,P0178,E01,336535.17,Adjudicación Simplificada,Proveedor 0178 SAC,Entidad Pública 01
C000472,P0160,E00,117611.8,Comparación de Precios,Proveedor 0160 SAC,Entidad Pública 00
C700038,P0062,E14,475114.73,Concurso Público,Proveedor 0062 SAC,Entidad Pública 14
C002825,P0117,E03,134829.25,Adjudicación Simplificada,Proveedor 0117 SAC,Entidad Pública 03
C800021,P0204,E05,180172.41,Concurso Público Abreviado,Proveedor 0204 SAC,Entidad Pública 05
C003148,P0199,E00,798956.81,Licitación Pública,Proveedor 0199 SAC,Entidad Pública 00
C003026,P0102,E01,268996.03,Concurso Público,Proveedor 0102 SAC,Entidad Pública 01
C002407,P0100,E08,209079.54,Comparación de Precios,Proveedor 0100 SAC,Entidad Pública 08
C700065,P0156,E02,515091.74,Adjudicación Simplificada,Proveedor 0156 SAC,Entidad Pública 02
C800018,P0204,E05,144231.53,Concurso Público Abreviado,Proveedor 0204 SAC,Entidad Pública 05
C800005,P0137,E00,271753.62,Concurso Público Abreviado,Proveedor 0137 SAC,Entidad Pública 00
C001673,P0038,E17,156741.89,Adjudicación Simplificada,Proveedor 0038 SAC,Entidad Pública 17
C001063,P0011,E15,260334.8,Adjudicación Simplificada,Proveedor 0011 SAC,Entidad Pública 15
C800002,P0085,E06,378594.32,Concurso Público Abreviado,Proveedor 0085 SAC,Entidad Pública 06
C000042,P0208,E03,139300.0,Comparación de Precios,Proveedor 0208 SAC,Entidad Pública 03
C700066,P0156,E02,417920.54,Licitación Pública,Proveedor 0156 SAC,Entidad Pública 02
C000153,P0132,E07,148538.78,Adjudicación Simplificada,Proveedor 0132 SAC,Entidad Pública 07
C900006,P0016,E07,385569.74,Comparación de Precios,Proveedor 0016 SAC,Entidad Pública 07
C800001,P0085,E06,289340.14,Concurso Público Abreviado,Proveedor 0085 SAC,Entidad Pública 06
C800000,P0085,E06,376117.57,Concurso Público Abreviado,Proveedor 0085 SAC,Entidad Pública 06
C001734,P0055,E10,101247.26,Adjudicación Simplificada,Proveedor 0055 SAC,Entidad Pública 10
C700061,P0205,E17,222876.96,Adjudicación Simplificada,Proveedor 0205 SAC,Entidad Pública 17
C000014,P0059,E09,375838.02,Comparación de Precios,Proveedor 0059 SAC,Entidad Pública 09
C000033,P0030,E16,271367.27,Comparación de Precios,Proveedor 0030 SAC,Entidad Pública 16
C002406,P0036,E16,119361.22,Contratación Directa,Proveedor 0036 SAC,Entidad Pública 16
C000937,P0160,E07,128821.62,Comparación de Precios,Proveedor 0160 SAC,Entidad Pública 07
C700082,P0201,E16,118634.9,Licitación Pública,Proveedor 0201 SAC,Entidad Pública 16
C000156,P0128,E08,137452.25,Adjudicación Simplificada,Proveedor 0128 SAC,Entidad Pública 08
C002025,P0173,E12,119194.82,Adjudicación Simplificada,Proveedor 0173 SAC,Entidad Pública 12
C700049,P0165,E01,236155.65,Licitación Pública,Proveedor 0165 SAC,Entidad Pública 01
C800019,P0204,E05,165784.84,Concurso Público Abreviado,Proveedor 0204 SAC,Entidad Pública 05
C000676,P0137,E17,102481.12,Comparación de Precios,Proveedor 0137 SAC,Entidad Pública 17
C001793,P0140,E06,189991.02,Adjudicación Simplificada,Proveedor 0140 SAC,Entidad Pública 06
C001725,P0110,E07,221081.21,Concurso Público,Proveedor 0110 SAC,Entidad Pública 07
C001507,P0067,E16,281140.95,Concurso Público,Proveedor 0067 SAC,Entidad Pública 16
C700084,P0201,E16,124362.24,Licitación Pública,Proveedor 0201 SAC,Entidad Pública 16
C900045,P0074,E06,407265.57,Contratación Directa,Proveedor 0074 SAC,Entidad Pública 06
C001299,P0151,E01,130564.29,Comparación de Precios,Proveedor 0151 SAC,Entidad Pública 01
C900050,P0074,E06,280159.48,Contratación Directa,Proveedor 0074 SAC,Entidad Pública 06
C900031,P0156,E02,339528.58,Contratación Directa,Proveedor 0156 SAC,Entidad Pública 02
C001550,P0001,E07,127942.19,Comparación de Precios,Proveedor 0001 SAC,Entidad Pública 07
C700059,P0205,E17,700263.82,Adjudicación Simplificada,Proveedor 0205 SAC,Entidad Pública 17
C001911,P0004,E01,711704.55,Adjudicación Simplificada,Proveedor 0004 SAC,Entidad Pública 01
C001607,P0017,E02,125360.13,Adjudicación Simplificada,Proveedor 0017 SAC,Entidad Pública 02
C700093,P0054,E10,826440.34,Licitación Pública,Proveedor 0054 SAC,Entidad Pública 10
C000904,P0056,E10,238678.38,Licitación Pública,Proveedor 0056 SAC,Entidad Pública 10
C700068,P0156,E02,234192.56,Licitación Pública,Proveedor 0156 SAC,Entidad Pública 02
C000984,P0040,E01,325711.16,Concurso Público,Proveedor 0040 SAC,Entidad Pública 01
C700101,P0026,E00,859270.25,Licitación Pública,Proveedor 0026 SAC,Entidad Pública 00
C000003,P0038,E16,113998.3,Licitación Pública,Proveedor 0038 SAC,Entidad Pública 16
C000770,P0165,E03,105708.89,Adjudicación Simplificada,Proveedor 0165 SAC,Entidad Pública 03
C800020,P0204,E05,199450.77,Concurso Público Abreviado,Proveedor 0204 SAC,Entidad Pública 05
C900018,P0012,E01,270638.63,Comparación de Precios,Proveedor 0012 SAC,Entidad Pública 01
C002983,P0065,E02,107761.23,Licitación Pública,Proveedor 0065 SAC,Entidad Pública 02
C002267,P0111,E06,359472.11,Adjudicación Simplificada,Proveedor 0111 SAC,Entidad Pública 06
C001636,P0161,E09,137365.12,Comparación de Precios,Proveedor 0161 SAC,Entidad Pública 09
C001849,P0209,E01,106268.74,Contratación Directa,Proveedor 0209 SAC,Entidad Pública 01
C001222,P0040,E07,134873.99,Adjudicación Simplificada,Proveedor 0040 SAC,Entidad Pública 07
C002576,P0041,E10,120281.85,Comparación de Precios,Proveedor 0041 SAC,Entidad Pública 10
C002458,P0146,E07,105650.23,Comparación de Precios,Proveedor 0146 SAC,Entidad Pública 07
C000274,P0119,E09,204032.36,Comparación de Precios,Proveedor 0119 SAC,Entidad Pública 09
C000442,P0189,E03,104312.42,Adjudicación Simplificada,Proveedor 0189 SAC,Entidad Pública 03
C002303,P0043,E07,101710.98,Comparación de Precios,Proveedor 0043 SAC,Entidad Pública 07
C000759,P0137,E11,113079.15,Comparación de Precios,Proveedor 0137 SAC,Entidad Pública 11
C002697,P0201,E01,105430.96,Contratación Directa,Proveedor 0201 SAC,Entidad Pública 01
C001924,P0180,E05,109060.59,Comparación de Precios,Proveedor 0180 SAC,Entidad Pública 05
C002177,P0023,E07,106840.67,Concurso Público,Proveedor 0023 SAC,Entidad Pública 07
C002624,P0133,E07,138984.28,Comparación de Precios,Proveedor 0133 SAC,Entidad Pública 07
C001177,P0014,E11,452520.98,Adjudicación Simplificada,Proveedor 0014 SAC,Entidad Pública 11
C001266,P0101,E10,142512.05,Comparación de Precios,Proveedor 0101 SAC,Entidad Pública 10
C900035,P0156,E02,453465.22,Contratación Directa,Proveedor 0156 SAC,Entidad Pública 02
C001087,P0212,E14,172234.1,Comparación de Precios,Proveedor 0212 SAC,Entidad Pública 14
C002988,P0057,E16,260867.86,Licitación Pública,Proveedor 0057 SAC,Entidad Pública 16
C001453,P0207,E06,127109.2,Adjudicación Simplificada,Proveedor 0207 SAC,Entidad Pública 06
C000585,P0140,E04,170425.28,Comparación de Precios,Proveedor 0140 SAC,Entidad Pública 04
C003127,P0112,E02,175626.04,Comparación de Precios,Proveedor 0112 SAC,Entidad Pública 02
C900000,P0016,E07,480407.97,Adjudicación Simplificada,Proveedor 0016 SAC,Entidad Pública 07
C002946,P0162,E13,361494.63,Comparación de Precios,Proveedor 0162 SAC,Entidad Pública 13
C001974,P0150,E08,185964.91,Adjudicación Simplificada,Proveedor 0150 SAC,Entidad Pública 08
C001243,P0067,E15,150441.59,Contratación Directa,Proveedor 0067 SAC,Entidad Pública 15
C003067,P0202,E02,173708.06,Comparación de Precios,Proveedor 0202 SAC,Entidad Pública 02
C001130,P0060,E11,115149.46,Adjudicación Simplificada,Proveedor 0060 SAC,Entidad Pública 11
C700007,P0178,E01,414676.31,Adjudicación Simplificada,Proveedor 0178 SAC,Entidad Pública 01
