id_proveedor,id_entidad,objeto,n_contratos_grupo,max_contratos_ventana_15d,monto_total_ventana_15d,pct_montos_bajo_umbral,monto_total_grupo,label_fraccionamiento_real,score_anomalia,es_anomalia_modelo,cumple_regla_fraccionamiento
P0075,E17,Suministro de combustible,2,1,172569.07,1.0,296777.42000000004,False,-0.12103848867573147,False,False
P0087,E09,Adquisición de materiales de construcción,2,1,15084.69,1.0,232014.93,False,-0.12124753905859736,False,False
P0195,E09,Obra de rehabilitación vial,2,1,13601.84,1.0,217890.88,False,-0.12300493340137231,False,False
P0212,E10,Suministro de combustible,2,1,80947.19,1.0,301798.41000000003,False,-0.12629711181846853,False,False
P0019,E13,Adquisición de bienes de oficina,2,1,8638.63,1.0,70336.61,False,-0.132692520129034,False,False
P0103,E07,Servicio de limpieza y vigilancia,2,1,149982.83,1.0,227360.92,False,-0.13347482736980837,False,False
P0064,E14,Consultoría en ingeniería,2,1,14798.98,1.0,36033.37,False,-0.13374180063035612,False,False
P0003,E17,Servicio de limpieza y vigilancia,2,1,176461.18,1.0,183429.26,False,-0.13435372883637758,False,False
P0035,E10,Adquisición de equipos informáticos,2,1,20419.88,1.0,34865.39,False,-0.13544238461177327,False,False
P0008,E04,Servicio de limpieza y vigilancia,2,1,8285.41,1.0,110118.05,False,-0.13648540898365774,False,False
P0135,E03,Servicio de limpieza y vigilancia,2,1,24066.03,1.0,202265.7,False,-0.13760241202212764,False,False
P0203,E10,Servicio de capacitación,2,1,86509.55,1.0,285049.56,False,-0.13792318374981782,False,False
P0066,E11,Servicio de mantenimiento de infraestructura,2,1,11823.33,1.0,52228.060000000005,False,-0.13837209549188323,False,False
P0145,E06,Adquisición de equipos informáticos,2,1,29845.46,1.0,206001.2,False,-0.13894727372279508,False,False
P0084,E14,Servicio de capacitación,2,1,14620.51,1.0,37591.52,False,-0.13907391819842485,False,False
P0143,E17,Obra de rehabilitación vial,2,1,71744.28,1.0,270479.72,False,-0.13945425857731103,False,False
P0094,E05,Suministro de combustible,2,1,150611.02,1.0,201385.83,False,-0.14013688964193688,False,False
P0133,E07,Obra de rehabilitación vial,2,1,162316.23,1.0,186096.66,False,-0.14159914621753417,False,False
P0187,E13,Adquisición de equipos informáticos,2,1,133409.47,1.0,198093.295,False,-0.141838581115951,False,False
P0113,E11,Suministro de combustible,2,1,37812.12,1.0,197810.06,False,-0.14211496718369138,False,False
P0153,E12,Servicio de transporte,2,1,137918.64,1.0,175842.7,False,-0.1437442096363109,False,False
P0123,E03,Consultoría en ingeniería,2,1,20772.03,1.0,40124.44,False,-0.14382364317278545,False,False
P0155,E16,Servicio de capacitación,2,1,75160.42,1.0,248242.08,False,-0.14397390451128989,False,False
P0038,E03,Servicio de mantenimiento de infraestructura,2,1,28695.46,1.0,43661.78,False,-0.14474285599873116,False,False
P0030,E07,Adquisición de bienes de oficina,2,1,26461.77,1.0,37069.4,False,-0.1455319626619237,False,False
P0182,E06,Adquisición de equipos informáticos,2,1,34993.37,1.0,43998.54,False,-0.14616983730260535,False,False
P0063,E06,Servicio de capacitación,2,1,113542.92,1.0,214169.27,False,-0.1495720840519167,False,False
P0113,E11,Consultoría en ingeniería,2,1,127948.77,1.0,166359.74,False,-0.15009854878991763,False,False
P0148,E04,Adquisición de equipos informáticos,2,1,59141.06,1.0,225865.7,False,-0.15042438020938698,False,False
P0063,E11,Servicio de capacitación,2,1,24625.44,1.0,43054.73,False,-0.1517785132365766,False,False
P0149,E09,Obra de rehabilitación vial,2,1,35120.76,1.0,51341.04,False,-0.1522953873504858,False,False
P0060,E13,Adquisición de bienes de oficina,2,1,124417.94,1.0,158299.78,False,-0.1534248622631802,False,False
P0157,E00,Servicio de capacitación,2,1,13080.45,1.0,138928.1,False,-0.1549993679388213,False,False
P0196,E07,Adquisición de bienes de oficina,2,1,111343.18,1.0,199493.56,False,-0.15548083993075956,False,False
P0034,E08,Servicio de mantenimiento de infraestructura,2,1,11890.18,1.0,91482.75,False,-0.15590131693234394,False,False
P0086,E17,Consultoría en ingeniería,2,1,26716.44,1.0,55034.13,False,-0.15667584452938388,False,False
P0187,E06,Adquisición de equipos informáticos,2,1,23925.04,1.0,50784.71,False,-0.15679767167694114,False,False
P0032,E14,Servicio de mantenimiento de infraestructura,2,1,39452.73,1.0,180859.53,False,-0.15685210930148935,False,False
P0096,E09,Servicio de capacitación,2,1,17200.31,1.0,81040.41,False,-0.15746222123069986,False,False
P0108,E02,Servicio de capacitación,2,1,19010.25,1.0,65079.26,False,-0.1576241186449034,False,False
P0058,E11,Servicio de mantenimiento de infraestructura,2,1,42461.23,1.0,58994.94,False,-0.15796155299079645,False,False
P0073,E13,Obra de rehabilitación vial,2,1,25295.93,1.0,51048.94,False,-0.1580431669593212,False,False
P0123,E00,Servicio de limpieza y vigilancia,2,1,40109.6,1.0,178502.68,False,-0.158309483989737,False,False
P0213,E01,Adquisición de bienes de oficina,2,1,14446.92,1.0,76231.36,False,-0.15848374140036958,False,False
P0046,E08,Adquisición de materiales de construcción,2,1,22223.24,1.0,71289.57,False,-0.15866605136214396,False,False
P0095,E13,Suministro de combustible,2,1,33811.3,1.0,65330.990000000005,False,-0.1591491096209055,False,False
P0143,E08,Servicio de limpieza y vigilancia,2,1,115895.31,1.0,131529.98,False,-0.15931153590880942,False,False
P0124,E07,Servicio de limpieza y vigilancia,2,1,14681.05,1.0,123867.31,False,-0.15977781802722596,False,False
P0112,E16,Servicio de transporte,2,1,51062.16,1.0,65201.79,False,-0.1601056517561954,False,False
P0099,E10,Obra de rehabilitación vial,2,1,12676.34,1.0,108060.2,False,-0.16013918353742285,False,False
P0039,E08,Servicio de capacitación,2,1,102732.62,1.0,194381.0,False,-0.1602335261137226,False,False
P0040,E17,Adquisición de bienes de oficina,2,1,14303.97,1.0,119232.3,False,-0.16048881116374158,False,False
P0174,E12,Servicio de transporte,2,1,25691.05,1.0,164130.61,False,-0.16115924843198404,False,False
P0055,E03,Consultoría en ingeniería,2,1,56397.34,1.0,72334.54999999999,False,-0.1616971835242071,False,False
P0176,E15,Servicio de transporte,2,1,15892.57,1.0,95258.91,False,-0.1617970610456041,False,False
P0188,E13,Obra de rehabilitación vial,2,1,30497.29,1.0,85487.20000000001,False,-0.16180209039858878,False,False
P0101,E14,Servicio de mantenimiento de infraestructura,2,1,61898.21,1.0,186820.46,False,-0.16235805392742947,False,False
P0094,E00,Suministro de combustible,2,1,18740.36,1.0,96815.27,False,-0.1626906395812085,False,False
P0159,E10,Servicio de limpieza y vigilancia,2,1,51038.11,1.0,166190.27000000002,False,-0.16350299568129256,False,False
P0131,E00,Servicio de transporte,2,1,110521.5,1.0,183149.79,False,-0.16367062024292017,False,False
P0198,E09,Adquisición de materiales de construcción,2,1,59706.38,1.0,69897.42,False,-0.16370125158362597,False,False
P0186,E11,Servicio de limpieza y vigilancia,2,1,48561.74,1.0,80654.94,False,-0.16370753387293296,False,False
P0144,E05,Suministro de combustible,2,1,19930.17,1.0,98188.78,False,-0.16431159415143914,False,False
P0088,E14,Consultoría en ingeniería,2,1,21809.8,1.0,121443.46,False,-0.16436140469050148,False,False
P0089,E06,Servicio de mantenimiento de infraestructura,2,1,113045.38,1.0,144216.67,False,-0.16457999780470484,False,False
P0112,E09,Adquisición de bienes de oficina,2,1,37427.59,1.0,95453.52,False,-0.16516111580219667,False,False
P0098,E14,Obra de rehabilitación vial,2,1,39165.82,1.0,140958.55,False,-0.16536822843353655,False,False
P0177,E12,Servicio de limpieza y vigilancia,2,1,60535.52,1.0,78405.81999999999,False,-0.16571943941749012,False,False
P0196,E07,Servicio de capacitación,2,1,30123.82,1.0,97711.29,False,-0.16643400462996688,False,False
P0100,E17,Adquisición de materiales de construcción,2,1,24099.86,1.0,136905.49,False,-0.16675534904054923,False,False
P0099,E05,Suministro de combustible,2,1,40681.44,1.0,131453.53,False,-0.1671071688221641,False,False
P0114,E02,Adquisición de bienes de oficina,2,1,29785.55,1.0,95301.73,False,-0.16751591241443542,False,False
P0105,E16,Servicio de limpieza y vigilancia,2,1,39825.76,1.0,113214.29,False,-0.16756011251426794,False,False
P0146,E07,Adquisición de bienes de oficina,2,1,63906.03,1.0,80733.95999999999,False,-0.16775984929776266,False,False
P0014,E01,Servicio de mantenimiento de infraestructura,2,1,100690.2,1.0,184941.19,False,-0.16818840892903647,False,False
P0079,E00,Adquisición de equipos informáticos,2,1,44104.72,1.0,92524.41,False,-0.1681996793726347,False,False
P0157,E05,Adquisición de bienes de oficina,2,1,44988.41,1.0,98882.49,False,-0.1684361551297271,False,False
P0202,E09,Adquisición de equipos informáticos,2,1,93274.8,1.0,102081.59,False,-0.16884185772574023,False,False
P0199,E17,Adquisición de materiales de construcción,2,1,47172.74,1.0,105782.33,False,-0.16935442187417982,False,False
P0133,E00,Adquisición de bienes de oficina,2,1,85171.26,1.0,94864.02,False,-0.16941784482340344,False,False
P0173,E13,Adquisición de equipos informáticos,2,1,111263.69,1.0,148850.68,False,-0.16985795218606975,False,False
P0195,E05,Adquisición de materiales de construcción,2,1,105762.96,1.0,165118.55,False,-0.1701275244321966,False,False
P0167,E17,Servicio de capacitación,2,1,106070.49,1.0,133701.76,False,-0.17023536570712594,False,False
P0199,E07,Servicio de mantenimiento de infraestructura,2,1,103124.0,1.0,167420.77,False,-0.17038017319588272,False,False
P0173,E00,Suministro de combustible,2,1,58499.08,1.0,114920.11,False,-0.17038981262833536,False,False
P0072,E07,Servicio de capacitación,2,1,83278.32,1.0,98766.55,False,-0.17087775230079238,False,False
P0196,E16,Servicio de mantenimiento de infraestructura,2,1,77866.35,1.0,161360.54,False,-0.17128069400356133,False,False
P0134,E17,Servicio de capacitación,2,1,49988.59,1.0,99582.13,False,-0.17128197561234737,False,False
P0208,E17,Consultoría en ingeniería,2,1,85574.44,1.0,111276.82,False,-0.1718213797379634,False,False
P0057,E08,Adquisición de bienes de oficina,2,1,85541.45,1.0,107394.75,False,-0.17182846151824344,False,False
P0027,E10,Adquisición de equipos informáticos,2,1,62580.71,1.0,89262.37,False,-0.1719420892008352,False,False
P0180,E09,Servicio de capacitación,2,1,106100.1,1.0,156870.17,False,-0.17264135468158504,False,False
P0203,E01,Servicio de limpieza y vigilancia,2,1,61530.635,1.0,99998.295,False,-0.17265314391790837,False,False
P0082,E13,Adquisición de equipos informáticos,2,1,68630.48,1.0,161157.31,False,-0.17277774476745683,False,False
P0002,E14,Adquisición de bienes de oficina,2,1,60630.46,1.0,141443.13,False,-0.17289463457133042,False,False
P0184,E11,Servicio de transporte,2,1,69440.33,1.0,91814.64,False,-0.1730041619307826,False,False
P0155,E07,Adquisición de bienes de oficina,2,1,60560.12,1.0,112294.92,False,-0.17318942484749056,False,False
P0124,E14,Servicio de transporte,2,1,64049.42,1.0,91868.56,False,-0.17336236770058888,False,False
P0145,E03,Adquisición de equipos informáticos,2,1,87338.52,1.0,126368.36,False,-0.174339639985422,False,False
P0197,E01,Servicio de limpieza y vigilancia,2,1,82502.28,1.0,137131.18,False,-0.1756235759129367,False,False
P0047,E11,Servicio de mantenimiento de infraestructura,2,1,72058.19,1.0,141474.05,False,-0.1760591164929215,False,False
P0162,E16,Servicio de capacitación,2,1,67482.73,1.0,146560.72999999998,False,-0.17622780286263956,False,False
P0093,E11,Servicio de limpieza y vigilancia,2,1,65943.58,1.0,127474.215,False,-0.17643914631732432,False,False
P0082,E05,Obra de rehabilitación vial,2,1,86166.87,1.0,147281.62,False,-0.1768120764434215,False,False
