id_proveedor,id_entidad,n_contratos,monto_total,monto_promedio,n_objetos_unicos,pct_contratacion_directa,pct_comparacion_precios,n_funcionarios_distintos,label_favoritismo_real,dias_actividad,concentracion_objeto,contratos_por_mes,monto_por_funcionario,score_riesgo_favoritismo
P0145,E15,1,28501.13,28501.13,1,0.0,0.0,1,False,1,0.0,30.0,28501.13,0.0
P0145,E16,2,829904.28,414952.14,2,0.0,0.0,2,False,734,0.0,0.0817438692098092,414952.14,0.0
P0150,E02,1,303636.69,303636.69,1,0.0,0.0,1,False,1,0.0,30.0,303636.69,0.0
P0146,E01,1,81389.67,81389.67,1,0.0,1.0,1,False,1,0.0,30.0,81389.67,0.0
P0146,E07,2,122478.16,61239.08,2,0.0,0.5,1,False,359,0.0,0.1671309192200557,122478.16,0.0
P0146,E09,1,296134.97,296134.97,1,0.0,0.0,1,False,1,0.0,30.0,296134.97,0.0
P0146,E10,1,99619.93,99619.93,1,0.0,0.0,1,False,1,0.0,30.0,99619.93,0.0
P0145,E07,1,827765.28,827765.28,1,0.0,1.0,1,False,1,0.0,30.0,827765.28,0.0
P0150,E07,1,129295.65,129295.65,1,0.0,0.0,1,False,1,0.0,30.0,129295.65,0.0
P0145,E06,2,38588.33,19294.165,1,0.0,1.0,2,False,446,0.5,0.1345291479820627,19294.165,0.0
P0146,E13,1,170802.7,170802.7,1,0.0,0.0,1,False,1,0.0,30.0,170802.7,0.0
P0145,E05,1,162056.67,162056.67,1,0.0,0.0,1,False,1,0.0,30.0,162056.67,0.0
P0144,E10,3,402028.42,134009.47333333333,3,0.3333333333333333,0.6666666666666666,2,False,289,0.0,0.3114186851211072,201014.21,0.0
P0145,E04,2,232151.22,116075.61,1,0.5,0.0,1,False,12,0.5,5.0,232151.22,0.0
P0144,E13,1,78684.7,78684.7,1,1.0,0.0,1,False,1,0.0,30.0,78684.7,0.0
P0145,E01,1,61718.89,61718.89,1,0.0,1.0,1,False,1,0.0,30.0,61718.89,0.0
P0145,E00,1,43474.18,43474.18,1,1.0,0.0,1,False,1,0.0,30.0,43474.18,0.0
P0150,E08,1,185964.91,185964.91,1,0.0,0.0,1,False,1,0.0,30.0,185964.91,0.0
P0150,E09,1,58679.44,58679.44,1,0.0,0.0,1,False,1,0.0,30.0,58679.44,0.0
P0144,E16,1,110169.97,110169.97,1,0.0,0.0,1,False,1,0.0,30.0,110169.97,0.0
P0144,E14,1,16045.46,16045.46,1,0.0,0.0,1,False,1,0.0,30.0,16045.46,0.0
P0146,E12,1,98636.89,98636.89,1,0.0,1.0,1,False,1,0.0,30.0,98636.89,0.0
P0149,E04,2,164110.86,82055.43,2,0.0,0.0,1,False,287,0.0,0.2090592334494773,164110.86,0.0
P0149,E02,1,31735.36,31735.36,1,0.0,0.0,1,False,1,0.0,30.0,31735.36,0.0
P0149,E00,2,163847.36,81923.68,2,0.0,0.0,1,False,409,0.0,0.1466992665036675,163847.36,0.0
P0148,E17,2,280527.5,140263.75,2,0.0,0.5,2,False,8,0.0,7.5,140263.75,0.0
P0148,E15,2,45041.11,22520.555,2,0.0,0.0,1,False,453,0.0,0.1324503311258278,45041.11,0.0
P0148,E14,1,60754.73,60754.73,1,0.0,0.0,1,False,1,0.0,30.0,60754.73,0.0
P0148,E13,1,243764.06,243764.06,1,0.0,0.0,1,False,1,0.0,30.0,243764.06,0.0
P0148,E12,1,53636.4,53636.4,1,0.0,0.0,1,False,1,0.0,30.0,53636.4,0.0
P0148,E06,1,200019.81,200019.81,1,1.0,0.0,1,False,1,0.0,30.0,200019.81,0.0
P0148,E05,1,48058.75,48058.75,1,0.0,0.0,1,False,1,0.0,30.0,48058.75,0.0
P0148,E04,2,195971.24,97985.62,2,0.0,0.0,2,False,777,0.0,0.0772200772200772,97985.62,0.0
P0148,E01,1,442839.69,442839.69,1,0.0,0.0,1,False,1,0.0,30.0,442839.69,0.0
P0148,E00,1,46775.47,46775.47,1,0.0,1.0,1,False,1,0.0,30.0,46775.47,0.0
P0147,E17,3,269999.74,89999.91333333333,3,0.3333333333333333,0.3333333333333333,2,False,320,0.0,0.28125,134999.87,0.0
P0144,E09,1,15640.92,15640.92,1,0.0,0.0,1,False,1,0.0,30.0,15640.92,0.0
P0147,E12,1,17400.59,17400.59,1,0.0,0.0,1,False,1,0.0,30.0,17400.59,0.0
P0149,E05,1,220480.62,220480.62,1,0.0,1.0,1,False,1,0.0,30.0,220480.62,0.0
P0147,E06,2,223057.81,111528.905,2,0.0,0.5,2,False,177,0.0,0.3389830508474576,111528.905,0.0
P0147,E04,1,61718.89,61718.89,1,0.0,0.0,1,False,1,0.0,30.0,61718.89,0.0
P0149,E06,3,135593.38999999998,45197.79666666666,3,0.0,0.6666666666666666,2,False,525,0.0,0.1714285714285714,67796.69499999999,0.0
P0147,E02,1,28799.32,28799.32,1,0.0,1.0,1,False,1,0.0,30.0,28799.32,0.0
P0149,E07,1,19209.85,19209.85,1,0.0,1.0,1,False,1,0.0,30.0,19209.85,0.0
P0149,E10,2,85105.29000000001,42552.645,2,0.0,1.0,2,False,272,0.0,0.2205882352941176,42552.645,0.0
P0147,E01,2,130372.37,65186.185,1,0.0,0.0,2,False,220,0.5,0.2727272727272727,65186.185,0.0
P0146,E16,1,13937.7,13937.7,1,0.0,0.0,1,False,1,0.0,30.0,13937.7,0.0
P0149,E15,1,141863.28,141863.28,1,0.0,0.0,1,False,1,0.0,30.0,141863.28,0.0
P0146,E15,1,24984.91,24984.91,1,0.0,0.0,1,False,1,0.0,30.0,24984.91,0.0
P0146,E14,1,28450.78,28450.78,1,0.0,0.0,1,False,1,0.0,30.0,28450.78,0.0
P0150,E01,1,100984.25,100984.25,1,0.0,1.0,1,False,1,0.0,30.0,100984.25,0.0
P0147,E13,2,103321.27,51660.635,1,0.0,1.0,2,False,295,0.5,0.2033898305084745,51660.635,0.0
P0139,E09,2,99180.38,49590.19,2,0.0,0.0,2,False,543,0.0,0.1104972375690607,49590.19,0.0
P0139,E10,4,476906.76,119226.69,3,0.0,0.25,2,False,416,0.25,0.2884615384615384,238453.38,0.0
P0139,E14,1,176032.26,176032.26,1,0.0,0.0,1,False,1,0.0,30.0,176032.26,0.0
P0139,E15,1,44615.99,44615.99,1,0.0,0.0,1,False,1,0.0,30.0,44615.99,0.0
P0139,E16,2,328028.69999999995,164014.34999999998,2,0.0,0.5,1,False,372,0.0,0.1612903225806451,328028.69999999995,0.0
P0139,E17,3,337391.52,112463.84,3,0.0,0.3333333333333333,2,False,144,0.0,0.625,168695.76,0.0
P0140,E01,1,60683.58,60683.58,1,0.0,1.0,1,False,1,0.0,30.0,60683.58,0.0
P0140,E02,1,40354.11,40354.11,1,0.0,0.0,1,False,1,0.0,30.0,40354.11,0.0
P0143,E15,1,59234.26,59234.26,1,0.0,0.0,1,False,1,0.0,30.0,59234.26,0.0
P0140,E04,1,170425.28,170425.28,1,0.0,1.0,1,False,1,0.0,30.0,170425.28,0.0
P0140,E06,1,189991.02,189991.02,1,0.0,0.0,1,False,1,0.0,30.0,189991.02,0.0
P0140,E07,2,93017.7,46508.85,2,0.0,1.0,2,False,6,0.0,10.0,46508.85,0.0
P0140,E08,2,437822.7,218911.35,2,0.0,0.5,2,False,657,0.0,0.091324200913242,218911.35,0.0
P0140,E09,1,29935.88,29935.88,1,1.0,0.0,1,False,1,0.0,30.0,29935.88,0.0
P0140,E11,2,25079.36,12539.68,2,0.0,0.5,2,False,577,0.0,0.1039861351819757,12539.68,0.0
P0140,E16,2,397536.86,198768.43,2,0.0,0.0,2,False,1104,0.0,0.0543478260869565,198768.43,0.0
P0141,E01,1,77423.28,77423.28,1,0.0,0.0,1,False,1,0.0,30.0,77423.28,0.0
P0140,E03,2,202551.57,101275.785,2,0.5,0.0,1,False,1207,0.0,0.0497100248550124,202551.57,0.0
P0137,E03,1,72129.32,72129.32,1,0.0,0.0,1,False,1,0.0,30.0,72129.32,0.0
P0137,E06,1,111942.94,111942.94,1,0.0,1.0,1,False,1,0.0,30.0,111942.94,0.0
P0137,E07,1,156153.39,156153.39,1,0.0,0.0,1,False,1,0.0,30.0,156153.39,0.0
P0137,E08,1,10995.5,10995.5,1,0.0,0.0,1,False,1,0.0,30.0,10995.5,0.0
P0137,E09,1,46478.19,46478.19,1,0.0,0.0,1,False,1,0.0,30.0,46478.19,0.0
P0137,E11,2,253343.7,126671.85,2,0.5,0.5,2,False,657,0.0,0.091324200913242,126671.85,0.0
P0137,E12,2,148905.47,74452.735,2,0.0,0.0,1,False,953,0.0,0.0629590766002098,148905.47,0.0
P0137,E14,1,11527.65,11527.65,1,1.0,0.0,1,False,1,0.0,30.0,11527.65,0.0
P0139,E07,2,66186.9,33093.45,2,0.0,0.5,2,False,855,0.0,0.0701754385964912,33093.45,0.0
P0137,E17,1,102481.12,102481.12,1,0.0,1.0,1,False,1,0.0,30.0,102481.12,0.0
P0138,E05,1,3518.38,3518.38,1,0.0,1.0,1,False,1,0.0,30.0,3518.38,0.0
P0138,E06,1,16847.98,16847.98,1,0.0,1.0,1,False,1,0.0,30.0,16847.98,0.0
P0138,E10,1,19941.71,19941.71,1,0.0,1.0,1,False,1,0.0,30.0,19941.71,0.0
P0138,E13,2,325509.91,162754.955,2,0.0,0.5,2,False,289,0.0,0.2076124567474048,162754.955,0.0
P0138,E16,1,52413.71,52413.71,1,0.0,1.0,1,False,1,0.0,30.0,52413.71,0.0
P0139,E01,1,163229.08,163229.08,1,0.0,0.0,1,False,1,0.0,30.0,163229.08,0.0
P0139,E04,1,58093.85,58093.85,1,0.0,0.0,1,False,1,0.0,30.0,58093.85,0.0
P0137,E15,1,466036.68,466036.68,1,0.0,1.0,1,False,1,0.0,30.0,466036.68,0.0
P0142,E14,1,53411.97,53411.97,1,0.0,0.0,1,False,1,0.0,30.0,53411.97,0.0
P0142,E17,1,149817.16,149817.16,1,0.0,0.0,1,False,1,0.0,30.0,149817.16,0.0
P0143,E02,2,160571.77000000002,80285.88500000001,2,0.0,0.5,2,False,581,0.0,0.1032702237521514,80285.88500000001,0.0
P0143,E05,1,134253.79,134253.79,1,0.0,0.0,1,False,1,0.0,30.0,134253.79,0.0
P0143,E08,1,115895.31,115895.31,1,0.0,1.0,1,False,1,0.0,30.0,115895.31,0.0
P0143,E09,1,76805.85,76805.85,1,0.0,1.0,1,False,1,0.0,30.0,76805.85,0.0
P0143,E10,1,116797.6,116797.6,1,0.0,1.0,1,False,1,0.0,30.0,116797.6,0.0
P0143,E11,1,61718.89,61718.89,1,1.0,0.0,1,False,1,0.0,30.0,61718.89,0.0
P0141,E04,1,17976.84,17976.84,1,0.0,0.0,1,False,1,0.0,30.0,17976.84,0.0
P0143,E14,1,61718.89,61718.89,1,1.0,0.0,1,False,1,0.0,30.0,61718.89,0.0
P0150,E10,1,20209.87,20209.87,1,0.0,0.0,1,False,1,0.0,30.0,20209.87,0.0
P0143,E17,2,101348.14,50674.07,2,0.0,0.0,1,False,348,0.0,0.1724137931034483,101348.14,0.0
P0144,E02,2,91984.98,45992.49,2,0.0,0.5,1,False,381,0.0,0.1574803149606299,91984.98,0.0
P0144,E03,2,155251.72999999998,77625.86499999999,2,0.0,0.0,1,False,657,0.0,0.091324200913242,155251.72999999998,0.0
P0144,E04,2,189044.5,94522.25,1,0.0,0.5,2,False,86,0.5,0.6976744186046512,94522.25,0.0
P0144,E05,2,128085.18,64042.59,2,0.0,1.0,2,False,536,0.0,0.1119402985074626,64042.59,0.0
P0144,E08,2,477125.61,238562.805,2,0.0,0.5,2,False,750,0.0,0.08,238562.805,0.0
P0143,E12,1,29548.66,29548.66,1,0.0,1.0,1,False,1,0.0,30.0,29548.66,0.0
P0141,E05,3,135387.62,45129.206666666665,2,0.0,0.0,3,False,714,0.3333333333333333,0.1260504201680672,45129.206666666665,0.0
P0141,E06,2,93403.34,46701.67,1,0.5,0.0,1,False,662,0.5,0.0906344410876132,93403.34,0.0
P0141,E07,1,40836.83,40836.83,1,0.0,0.0,1,False,1,0.0,30.0,40836.83,0.0
P0141,E09,4,567300.99,141825.2475,3,0.0,0.25,3,False,744,0.25,0.1612903225806451,189100.33,0.0
P0141,E10,1,33736.32,33736.32,1,0.0,1.0,1,False,1,0.0,30.0,33736.32,0.0
P0141,E11,1,109896.27,109896.27,1,0.0,0.0,1,False,1,0.0,30.0,109896.27,0.0
P0141,E14,1,46537.91,46537.91,1,0.0,0.0,1,False,1,0.0,30.0,46537.91,0.0
P0141,E15,1,87375.57,87375.57,1,1.0,0.0,1,False,1,0.0,30.0,87375.57,0.0
P0142,E13,1,33713.58,33713.58,1,1.0,0.0,1,False,1,0.0,30.0,33713.58,0.0
P0141,E17,1,38130.48,38130.48,1,0.0,1.0,1,False,1,0.0,30.0,38130.48,0.0
P0142,E00,1,188598.87,188598.87,1,1.0,0.0,1,False,1,0.0,30.0,188598.87,0.0
P0142,E02,1,569154.64,569154.64,1,0.0,0.0,1,False,1,0.0,30.0,569154.64,0.0
P0142,E03,1,59289.6,59289.6,1,1.0,0.0,1,False,1,0.0,30.0,59289.6,0.0
P0142,E04,1,186330.03,186330.03,1,0.0,1.0,1,False,1,0.0,30.0,186330.03,0.0
P0142,E07,1,26407.4,26407.4,1,0.0,0.0,1,False,1,0.0,30.0,26407.4,0.0
P0142,E10,1,12868.75,12868.75,1,0.0,1.0,1,False,1,0.0,30.0,12868.75,0.0
P0142,E11,1,73378.65,73378.65,1,0.0,1.0,1,False,1,0.0,30.0,73378.65,0.0
P0142,E12,1,383512.45,383512.45,1,0.0,0.0,1,False,1,0.0,30.0,383512.45,0.0
P0141,E16,1,74696.35,74696.35,1,0.0,0.0,1,False,1,0.0,30.0,74696.35,0.0
P0159,E09,3,456776.68,152258.89333333334,3,0.0,0.3333333333333333,3,False,277,0.0,0.3249097472924188,152258.89333333334,0.0
P0159,E10,2,65090.810000000005,32545.405,2,0.0,0.0,1,False,853,0.0,0.0703399765533411,65090.810000000005,0.0
P0159,E13,1,54458.35,54458.35,1,0.0,1.0,1,False,1,0.0,30.0,54458.35,0.0
P0159,E14,2,483722.49,241861.245,2,0.0,0.5,1,False,105,0.0,0.5714285714285714,483722.49,0.0
P0159,E15,1,282064.36,282064.36,1,0.0,0.0,1,False,1,0.0,30.0,282064.36,0.0
P0159,E16,1,10761.73,10761.73,1,1.0,0.0,1,False,1,0.0,30.0,10761.73,0.0
P0159,E17,1,52190.04,52190.04,1,1.0,0.0,1,False,1,0.0,30.0,52190.04,0.0
P0160,E00,2,161912.19,80956.095,2,0.0,0.5,1,False,1013,0.0,0.0592300098716683,161912.19,0.0
P0151,E01,1,130564.29,130564.29,1,0.0,1.0,1,False,1,0.0,30.0,130564.29,0.0
P0160,E02,1,164192.29,164192.29,1,0.0,0.0,1,False,1,0.0,30.0,164192.29,0.0
P0160,E03,2,442025.34,221012.67,2,0.0,0.5,1,False,437,0.0,0.137299771167048,442025.34,0.0
P0160,E04,1,71471.16,71471.16,1,0.0,1.0,1,False,1,0.0,30.0,71471.16,0.0
P0160,E07,1,128821.62,128821.62,1,0.0,1.0,1,False,1,0.0,30.0,128821.62,0.0
P0160,E09,2,67436.4,33718.2,2,0.0,0.0,2,False,534,0.0,0.1123595505617977,33718.2,0.0
P0160,E11,1,3721.96,3721.96,1,0.0,0.0,1,False,1,0.0,30.0,3721.96,0.0
P0160,E12,2,357894.71,178947.355,2,0.0,0.0,1,False,521,0.0,0.1151631477927063,357894.71,0.0
P0160,E13,2,333623.4,166811.7,2,0.0,0.0,1,False,195,0.0,0.3076923076923077,333623.4,0.0
P0160,E01,2,75857.42,37928.71,2,0.0,0.0,1,False,454,0.0,0.13215859030837,75857.42,0.0
P0157,E09,1,33248.35,33248.35,1,0.0,0.0,1,False,1,0.0,30.0,33248.35,0.0
P0157,E10,1,5116.83,5116.83,1,0.0,0.0,1,False,1,0.0,30.0,5116.83,0.0
P0157,E12,2,50905.51,25452.755,2,0.0,0.5,2,False,323,0.0,0.1857585139318885,25452.755,0.0
P0157,E13,1,21595.49,21595.49,1,0.0,0.0,1,False,1,0.0,30.0,21595.49,0.0
P0157,E16,1,25129.72,25129.72,1,0.0,0.0,1,False,1,0.0,30.0,25129.72,0.0
P0158,E02,1,15583.04,15583.04,1,0.0,1.0,1,False,1,0.0,30.0,15583.04,0.0
P0158,E03,1,36685.9,36685.9,1,0.0,0.0,1,False,1,0.0,30.0,36685.9,0.0
P0158,E05,1,246785.2,246785.2,1,0.0,1.0,1,False,1,0.0,30.0,246785.2,0.0
P0159,E07,1,77838.27,77838.27,1,0.0,0.0,1,False,1,0.0,30.0,77838.27,0.0
P0158,E11,1,68780.21,68780.21,1,0.0,1.0,1,False,1,0.0,30.0,68780.21,0.0
P0158,E12,2,505639.39,252819.695,2,0.0,0.0,1,False,309,0.0,0.1941747572815534,505639.39,0.0
P0158,E14,1,139606.63,139606.63,1,1.0,0.0,1,False,1,0.0,30.0,139606.63,0.0
P0158,E15,1,235877.38,235877.38,1,0.0,0.0,1,False,1,0.0,30.0,235877.38,0.0
P0159,E00,2,95221.815,47610.9075,2,0.0,0.0,2,False,754,0.0,0.0795755968169761,47610.9075,0.0
P0159,E03,1,160490.39,160490.39,1,0.0,1.0,1,False,1,0.0,30.0,160490.39,0.0
P0159,E04,3,186011.74,62003.91333333333,3,0.0,0.3333333333333333,3,False,227,0.0,0.3964757709251101,62003.91333333333,0.0
P0159,E06,1,103803.37,103803.37,1,0.0,0.0,1,False,1,0.0,30.0,103803.37,0.0
P0158,E10,1,136455.4,136455.4,1,0.0,1.0,1,False,1,0.0,30.0,136455.4,0.0
P0162,E10,1,136451.01,136451.01,1,0.0,0.0,1,False,1,0.0,30.0,136451.01,0.0
P0162,E12,2,172522.07,86261.035,2,0.0,0.5,1,False,386,0.0,0.155440414507772,172522.07,0.0
P0162,E13,2,609723.47,304861.735,2,0.0,0.5,2,False,519,0.0,0.1156069364161849,304861.735,0.0
P0162,E16,1,79078.0,79078.0,1,0.0,0.0,1,False,1,0.0,30.0,79078.0,0.0
P0162,E17,1,92411.79,92411.79,1,0.0,0.0,1,False,1,0.0,30.0,92411.79,0.0
P0163,E01,2,223116.32,111558.16,2,0.5,0.5,2,False,30,0.0,2.0,111558.16,0.0
P0163,E03,1,388729.6,388729.6,1,0.0,1.0,1,False,1,0.0,30.0,388729.6,0.0
P0163,E05,2,281404.14,140702.07,2,0.0,0.0,2,False,87,0.0,0.6896551724137931,140702.07,0.0
P0160,E15,1,43822.59,43822.59,1,0.0,1.0,1,False,1,0.0,30.0,43822.59,0.0
P0163,E13,1,87995.23,87995.23,1,0.0,0.0,1,False,1,0.0,30.0,87995.23,0.0
P0163,E14,3,194044.46,64681.48666666666,3,0.0,0.3333333333333333,2,False,597,0.0,0.1507537688442211,97022.23,0.0
P0163,E15,1,60448.82,60448.82,1,0.0,0.0,1,False,1,0.0,30.0,60448.82,0.0
P0164,E00,1,534552.95,534552.95,1,0.0,0.0,1,False,1,0.0,30.0,534552.95,0.0
P0164,E01,2,467596.05,233798.025,1,0.0,0.5,1,False,400,0.5,0.15,467596.05,0.0
P0164,E05,1,47078.08,47078.08,1,0.0,0.0,1,False,1,0.0,30.0,47078.08,0.0
P0164,E06,2,268794.63,134397.315,2,0.5,0.5,2,False,253,0.0,0.2371541501976284,134397.315,0.0
P0164,E09,1,29338.25,29338.25,1,0.0,1.0,1,False,1,0.0,30.0,29338.25,0.0
P0163,E09,1,37765.02,37765.02,1,0.0,1.0,1,False,1,0.0,30.0,37765.02,0.0
P0160,E17,1,6619.5,6619.5,1,0.0,0.0,1,False,1,0.0,30.0,6619.5,0.0
P0161,E00,1,33699.25,33699.25,1,0.0,1.0,1,False,1,0.0,30.0,33699.25,0.0
P0161,E01,1,135776.3,135776.3,1,0.0,1.0,1,False,1,0.0,30.0,135776.3,0.0
P0161,E02,1,39268.67,39268.67,1,0.0,1.0,1,False,1,0.0,30.0,39268.67,0.0
P0161,E03,2,43461.14,21730.57,2,0.0,0.0,1,False,73,0.0,0.8219178082191781,43461.14,0.0
P0161,E09,2,295388.44999999995,147694.22499999998,2,0.0,1.0,2,False,122,0.0,0.4918032786885246,147694.22499999998,0.0
P0161,E10,1,44483.89,44483.89,1,0.0,0.0,1,False,1,0.0,30.0,44483.89,0.0
P0161,E11,3,415546.89,138515.63,3,0.0,0.0,2,False,1103,0.0,0.0815956482320943,207773.445,0.0
P0162,E09,1,88405.7,88405.7,1,0.0,0.0,1,False,1,0.0,30.0,88405.7,0.0
P0161,E13,1,61718.89,61718.89,1,0.0,0.0,1,False,1,0.0,30.0,61718.89,0.0
P0161,E15,2,95890.73,47945.365000000005,2,0.0,0.5,1,False,43,0.0,1.3953488372093024,95890.73,0.0
P0161,E16,1,77199.28,77199.28,1,0.0,0.0,1,False,1,0.0,30.0,77199.28,0.0
P0162,E01,3,153577.7,51192.56666666667,3,0.0,0.6666666666666666,2,False,1132,0.0,0.0795053003533568,76788.85,0.0
P0162,E02,1,8764.77,8764.77,1,0.0,1.0,1,False,1,0.0,30.0,8764.77,0.0
P0162,E03,1,68426.36,68426.36,1,0.0,0.0,1,False,1,0.0,30.0,68426.36,0.0
P0162,E05,1,86064.15,86064.15,1,0.0,0.0,1,False,1,0.0,30.0,86064.15,0.0
P0162,E08,1,49546.34,49546.34,1,0.0,0.0,1,False,1,0.0,30.0,49546.34,0.0
P0161,E12,1,14476.51,14476.51,1,0.0,0.0,1,False,1,0.0,30.0,14476.51,0.0
P0152,E02,2,326822.14,163411.07,1,0.0,0.0,2,False,259,0.5,0.2316602316602316,163411.07,0.0
P0152,E03,1,16518.98,16518.98,1,0.0,0.0,1,False,1,0.0,30.0,16518.98,0.0
P0152,E04,2,272910.03,136455.015,2,0.0,1.0,1,False,185,0.0,0.3243243243243243,272910.03,0.0
P0152,E05,1,34936.52,34936.52,1,0.0,1.0,1,False,1,0.0,30.0,34936.52,0.0
P0152,E07,1,60244.67,60244.67,1,0.0,1.0,1,False,1,0.0,30.0,60244.67,0.0
P0152,E08,2,110861.235,55430.6175,1,0.0,0.0,2,False,1254,0.5,0.0478468899521531,55430.6175,0.0
P0152,E10,2,61950.43000000001,30975.215000000004,2,0.0,0.5,1,False,246,0.0,0.2439024390243902,61950.43000000001,0.0
P0152,E11,1,11534.61,11534.61,1,0.0,0.0,1,False,1,0.0,30.0,11534.61,0.0
P0157,E06,3,149613.31,49871.10333333333,2,0.0,0.6666666666666666,2,False,111,0.3333333333333333,0.8108108108108107,74806.655,0.0
