id_contrato,id_proveedor,id_entidad,id_funcionario,modalidad,objeto,categoria_principal,monto,fecha_contrato,es_favoritismo_real,es_fraccionamiento_real,escenario_sintetico
C700089,P0054,E10,F026,Licitación Pública,Servicio de capacitación,services,81238.66,2025-04-01,False,False,hard_negative_concentracion_legitima
C002601,P0155,E05,F045,Adjudicación Simplificada,Obra de rehabilitación vial,works,20048.25,2025-10-01,False,False,normal
C000761,P0013,E08,F014,Comparación de Precios,Servicio de transporte,services,14856.09,2023-12-01,False,False,normal
C002665,P0052,E09,F043,Adjudicación Simplificada,Adquisición de materiales de construcción,goods,1013803.0,2024-01-09,False,False,normal
C002096,P0079,E00,F010,Adjudicación Simplificada,Adquisición de materiales de construcción,goods,30927.87,2025-03-27,False,False,normal
C002972,P0045,E01,F017,Licitación Pública,Servicio de transporte,services,334537.82,2025-07-30,False,False,normal
C003254,P0108,E17,F012,Concurso Público,Adquisición de bienes de oficina,goods,48726.97,2025-08-08,False,False,normal
C001467,P0152,E08,F014,Adjudicación Simplificada,Servicio de mantenimiento de infraestructura,services,51962.72,2023-01-22,False,False,normal
C000017,P0033,E05,F037,Licitación Pública,Servicio de capacitación,services,45872.11,2023-05-28,False,False,normal
C001558,P0209,E15,F035,Concurso Público,Servicio de transporte,services,38291.78,2026-06-19,False,False,normal
C002567,P0170,E03,F000,Adjudicación Simplificada,Servicio de capacitación,services,158843.78,2023-09-29,False,False,normal
C002369,P0066,E00,F010,Adjudicación Simplificada,Adquisición de equipos informáticos,goods,34626.56,2024-06-23,False,False,normal
C700046,P0165,E01,F048,Licitación Pública,Servicio de transporte,services,832461.73,2025-07-24,False,False,hard_negative_concentracion_legitima
C001494,P0115,E12,F050,Adjudicación Simplificada,Servicio de capacitación,services,15913.78,2023-06-08,False,False,normal
C001800,P0082,E12,F050,Comparación de Precios,Adquisición de materiales de construcción,goods,3304.38,2023-03-17,False,False,normal
C003456,P0029,E09,F034,Comparación de Precios,Servicio de limpieza y vigilancia,services,73994.75,2026-01-30,False,False,normal
C900058,P0064,E00,F010,Comparación de Precios,Obra de rehabilitación vial,works,210997.4,2024-01-14,True,False,favoritismo_sembrado
C001236,P0121,E13,F055,Contratación Directa,Servicio de transporte,services,167113.03,2026-06-08,False,False,normal
C002216,P0022,E12,F021,Contratación Directa,Adquisición de materiales de construcción,goods,9054.82,2023-07-11,False,False,normal
C002641,P0066,E03,F000,Licitación Pública,Servicio de capacitación,services,26087.71,2025-03-15,False,False,normal
C001840,P0144,E05,F059,Comparación de Precios,Servicio de transporte,services,19930.17,2023-03-15,False,False,normal
C000196,P0134,E15,F035,Adjudicación Simplificada,Suministro de combustible,goods,134011.2,2025-12-17,False,False,normal
C001022,P0201,E07,F036,Adjudicación Simplificada,Adquisición de bienes de oficina,goods,57394.01,2024-09-06,False,False,normal
C001811,P0076,E16,F042,Comparación de Precios,Adquisición de bienes de oficina,goods,118237.29,2023-11-15,False,False,normal
C001584,P0052,E00,F041,Comparación de Precios,Servicio de transporte,services,50478.66,2025-06-24,False,False,normal
C001726,P0111,E14,F016,Comparación de Precios,Adquisición de bienes de oficina,goods,71013.8,2024-04-07,False,False,normal
C001047,P0095,E11,F049,Contratación Directa,Servicio de limpieza y vigilancia,services,32570.07,2023-11-09,False,False,normal
C900041,P0074,E06,F039,Contratación Directa,Adquisición de bienes de oficina,goods,218967.97,2026-06-15,True,False,favoritismo_sembrado
C002667,P0162,E08,F005,Adjudicación Simplificada,Obra de rehabilitación vial,works,49546.34,2024-06-01,False,False,normal
C000402,P0020,E02,F044,Comparación de Precios,Consultoría en ingeniería,services,40958.86,2024-07-29,False,False,normal
C002526,P0002,E14,F016,Licitación Pública,Adquisición de bienes de oficina,goods,80812.67,2025-08-22,False,False,normal
C001114,P0054,E05,F001,Adjudicación Simplificada,Adquisición de materiales de construcción,goods,20966.96,2025-12-05,False,False,normal
C001503,P0164,E06,F006,Contratación Directa,Adquisición de equipos informáticos,goods,263084.32,2025-02-08,False,False,normal
C001490,P0156,E06,F006,Licitación Pública,Servicio de capacitación,services,10700.53,2024-06-04,False,False,normal
C001983,P0004,E06,F039,Comparación de Precios,Servicio de capacitación,services,,2024-04-13,False,False,normal
C001110,P0144,E04,F019,Adjudicación Simplificada,Adquisición de bienes de oficina,goods,136025.72,2023-04-23,False,False,normal
C001345,P0101,E02,F051,,Suministro de combustible,goods,114063.9,2026-06-16,False,False,normal
C001023,P0111,E16,F002,Adjudicación Simplificada,Servicio de transporte,services,47275.64,2024-07-13,False,False,normal
C000263,P0030,E03,F000,Concurso Público,Adquisición de equipos informáticos,goods,9154.6,2023-08-25,False,False,normal
C000211,P0046,E03,F000,Contratación Directa,Adquisición de equipos informáticos,goods,19983.5,2023-03-07,False,False,normal
C900062,P0064,E00,F041,Contratación Directa,Adquisición de equipos informáticos,goods,87449.42,2024-07-18,True,False,favoritismo_sembrado
C002978,P0088,E14,F016,Adjudicación Simplificada,Suministro de combustible,goods,67094.65,2025-03-01,False,False,normal
C002069,P0198,E03,F000,Comparación de Precios,Servicio de capacitación,services,73748.64,2023-12-23,False,False,normal
C000927,P0071,E11,F007,Adjudicación Simplificada,Suministro de combustible,goods,204704.95,2025-05-16,False,False,normal
C002528,P0083,E08,F005,Contratación Directa,Obra de rehabilitación vial,works,28931.3,2025-09-10,False,False,normal
C002943,P0190,E02,F011,Licitación Pública,Suministro de combustible,goods,188637.12,2025-06-13,False,False,normal
C003189,P0198,E04,F030,Licitación Pública,Consultoría en ingeniería,services,95135.55,2023-10-07,False,False,normal
C001037,P0088,E07,F036,Adjudicación Simplificada,Consultoría en ingeniería,services,91715.57,2023-08-17,False,False,normal
C000893,P0159,E16,F057,Contratación Directa,Servicio de mantenimiento de infraestructura,services,10761.73,2023-06-12,False,False,normal
C000120,P0013,E06,F039,Concurso Público,Adquisición de materiales de construcción,goods,104668.03,2025-06-09,False,False,normal
C001691,P0042,E14,F040,Comparación de Precios,Consultoría en ingeniería,services,31210.35,2023-02-28,False,False,normal
C002310,P0117,E06,F039,Adjudicación Simplificada,Adquisición de bienes de oficina,goods,32589.19,2023-10-08,False,False,normal
C001480,P0019,E13,F058,Adjudicación Simplificada,Servicio de capacitación,services,104060.58,2025-08-28,False,False,normal
C000315,P0049,E13,F058,Adjudicación Simplificada,Servicio de mantenimiento de infraestructura,services,40455.59,2025-09-08,False,False,normal
C002256,P0129,E09,F033,Contratación Directa,Adquisición de materiales de construcción,goods,,2025-12-11,False,False,normal
C000052,P0176,E10,F026,Comparación de Precios,Suministro de combustible,goods,30385.95,2023-11-01,False,False,normal
C002488,P0217,E09,F034,Comparación de Precios,,goods,75978.12,2026-05-08,False,False,normal
C003165,P0007,E01,F048,Licitación Pública,Obra de rehabilitación vial,works,38095.4,2023-03-23,False,False,normal
C002307,P0075,E15,F035,Contratación Directa,Servicio de limpieza y vigilancia,services,87621.08,2025-02-03,False,False,normal
C000026,P0058,E11,F007,Adjudicación Simplificada,Consultoría en ingeniería,services,83116.25,2023-06-28,False,False,normal
C001006,P0061,E00,F038,Comparación de Precios,Consultoría en ingeniería,services,86042.19,2023-01-07,False,False,normal
C002772,P0009,E17,F031,Comparación de Precios,Adquisición de equipos informáticos,goods,63385.55,2023-05-17,False,False,normal
C000948,P0030,E03,F000,Concurso Público,Servicio de capacitación,services,38465.89,2026-05-12,False,False,normal
C003292,P0008,E01,F017,Comparación de Precios,Servicio de transporte,services,48303.21,2025-02-07,False,False,normal
C000929,P0003,E16,F002,Adjudicación Simplificada,Servicio de mantenimiento de infraestructura,services,25628.88,2024-11-16,False,False,normal
C003474,P0094,E07,F023,Contratación Directa,Obra de rehabilitación vial,works,27136.25,2025-06-28,False,False,normal
C001061,P0173,E11,F007,Contratación Directa,Obra de rehabilitación vial,works,71311.96,2023-11-17,False,False,normal
C900038,P0156,E02,F051,Adjudicación Simplificada,Adquisición de materiales de construcción,goods,280647.2,2024-07-14,True,False,favoritismo_sembrado
C800022,P0204,E05,F037,Concurso Público Abreviado,Servicio de transporte,services,131554.32,2026-04-28,False,True,fraccionamiento_sembrado
C003231,P0156,E09,F043,Concurso Público,Servicio de mantenimiento de infraestructura,services,115652.73,2024-08-19,False,False,normal
C003195,P0136,E11,F007,Comparación de Precios,Consultoría en ingeniería,services,106082.25,2026-03-22,False,False,normal
C001263,P0194,E07,F013,Adjudicación Simplificada,Obra de rehabilitación vial,works,76781.75,2025-03-04,False,False,normal
C000322,P0043,E03,F000,Adjudicación Simplificada,,services,14966.32,2025-08-03,False,False,normal
C002382,P0009,E13,F055,Contratación Directa,Adquisición de equipos informáticos,goods,34323.51,2024-02-04,False,False,normal
C002633,P0096,E09,F043,Adjudicación Simplificada,Servicio de capacitación,services,244629.08,2025-12-26,False,False,normal
C000805,P0211,E16,F042,Adjudicación Simplificada,Servicio de mantenimiento de infraestructura,services,28537.7,2023-06-13,False,False,normal
C000149,P0097,E17,F003,Comparación de Precios,Servicio de capacitación,services,28200.87,2026-01-03,False,False,normal
C003433,P0062,E09,F027,Comparación de Precios,Adquisición de equipos informáticos,goods,25887.36,2026-05-01,False,False,normal
C003346,P0137,E07,F023,,Adquisición de equipos informáticos,goods,156153.39,2023-10-11,False,False,normal
C002297,P0196,E08,F014,Concurso Público,Obra de rehabilitación vial,works,11674.55,2025-10-05,False,False,normal
C001070,P0069,E01,F048,Adjudicación Simplificada,Servicio de mantenimiento de infraestructura,services,47350.05,2026-01-18,False,False,normal
C002522,P0171,E11,F049,,Suministro de combustible,goods,18933.55,2025-11-19,False,False,normal
C000718,P0024,E01,F017,Contratación Directa,Adquisición de materiales de construcción,goods,130461.01,2025-06-01,False,False,normal
C002164,P0033,E09,F034,Licitación Pública,Servicio de mantenimiento de infraestructura,services,35766.24,2024-09-30,False,False,normal
C001598,P0141,E16,F057,Licitación Pública,Servicio de mantenimiento de infraestructura,services,74696.35,2024-09-15,False,False,normal
C700005,P0178,E01,F017,Licitación Pública,Servicio de capacitación,services,873586.2,2026-01-03,False,False,hard_negative_concentracion_legitima
C000463,P0156,E06,F006,Contratación Directa,Adquisición de bienes de oficina,goods,159465.89,2025-10-18,False,False,normal
C000240,P0203,E16,F002,Comparación de Precios,Servicio de transporte,services,18322.25,2024-11-08,False,False,normal
C002885,P0108,E15,F035,Comparación de Precios,Adquisición de bienes de oficina,goods,447720.92,2026-03-20,False,False,normal
C003244,P0202,E07,F036,Adjudicación Simplificada,Servicio de limpieza y vigilancia,services,79843.28,2023-10-15,False,False,normal
C000033,P0030,E16,F057,Comparación de Precios,Adquisición de materiales de construcción,goods,271367.27,2026-05-08,False,False,normal
C003071,P0219,E09,F034,Adjudicación Simplificada,Adquisición de equipos informáticos,goods,19788.03,2024-05-24,False,False,normal
C000712,P0196,E07,F023,Comparación de Precios,Adquisición de bienes de oficina,goods,93173.82,2023-02-16,False,False,normal
C000527,P0038,E17,F012,Adjudicación Simplificada,Adquisición de equipos informáticos,goods,178199.67,2024-02-12,False,False,normal
C000184,P0008,E15,F035,Adjudicación Simplificada,Servicio de capacitación,services,83369.7,2025-08-10,False,False,normal
C001565,P0066,E11,F007,Contratación Directa,Servicio de limpieza y vigilancia,services,40404.73,2024-08-30,False,False,normal
C002419,P0025,E10,F026,Adjudicación Simplificada,Servicio de limpieza y vigilancia,services,77087.93,2023-08-21,False,False,normal
C003479,P0184,E12,F050,Adjudicación Simplificada,Suministro de combustible,goods,34454.2,2025-10-16,False,False,normal
C001720,P0006,E04,F019,Comparación de Precios,Adquisición de equipos informáticos,goods,135676.38,2024-02-25,False,False,normal
C002159,P0212,E15,F035,Adjudicación Simplificada,Servicio de capacitación,services,418935.59,2026-03-05,False,False,normal
C001483,P0080,E00,F038,Comparación de Precios,Suministro de combustible,goods,20053.38,2024-08-13,False,False,normal
C002921,P0147,E01,F017,Licitación Pública,Servicio de limpieza y vigilancia,services,58152.7,2023-10-29,False,False,normal
C002355,P0099,E10,F026,Comparación de Precios,Obra de rehabilitación vial,works,95383.86,2024-08-05,False,False,normal
C003137,P0025,E15,F035,Comparación de Precios,Servicio de mantenimiento de infraestructura,services,18997.42,2023-05-23,False,False,normal
C001894,P0033,E05,F009,Adjudicación Simplificada,Consultoría en ingeniería,services,21383.5,2025-12-10,False,False,normal
C002293,P0040,E11,F049,Adjudicación Simplificada,Consultoría en ingeniería,services,93879.3,2023-10-29,False,False,normal
C001414,P0167,E15,F035,Licitación Pública,Servicio de capacitación,services,113713.0,2025-09-30,False,False,normal
C002700,P0103,E09,F034,Adjudicación Simplificada,Obra de rehabilitación vial,works,112865.59,2026-01-14,False,False,normal
C001001,P0022,E07,F023,Comparación de Precios,Servicio de capacitación,services,17034.85,2024-05-14,False,False,normal
C002404,P0063,E11,F054,Adjudicación Simplificada,Suministro de combustible,goods,66223.03,2025-04-19,False,False,normal
C002003,P0006,E10,F026,Concurso Público,Adquisición de equipos informáticos,goods,22170.42,2024-11-26,False,False,normal
C000070,P0084,E09,F034,Licitación Pública,Servicio de transporte,services,116492.86,2026-01-13,False,False,normal
C001956,P0003,E15,F035,Comparación de Precios,Consultoría en ingeniería,services,120849.69,2023-06-30,False,False,normal
C001831,P0159,E10,F004,Adjudicación Simplificada,Consultoría en ingeniería,services,49242.62,2025-12-03,False,False,normal
C700036,P0062,E14,F016,Licitación Pública,Adquisición de equipos informáticos,goods,673328.68,2024-08-06,False,False,hard_negative_concentracion_legitima
C000807,P0143,E10,F008,Comparación de Precios,Servicio de mantenimiento de infraestructura,services,116797.6,2025-04-08,False,False,normal
C001593,P0070,E13,F055,Concurso Público,Obra de rehabilitación vial,works,1613399.67,2023-02-02,False,False,normal
C003018,P0126,E05,F009,Concurso Público,Suministro de combustible,goods,28683.24,2026-01-12,False,False,normal
C002172,P0118,E16,F042,Comparación de Precios,Servicio de transporte,services,155314.11,2024-02-24,False,False,normal
C002634,P0057,E07,F036,Contratación Directa,Suministro de combustible,goods,56981.72,2023-05-06,False,False,normal
C000670,P0012,E03,F000,Licitación Pública,Adquisición de bienes de oficina,goods,301336.37,2023-07-06,False,False,normal
C000410,P0003,E01,F018,Adjudicación Simplificada,Adquisición de equipos informáticos,goods,71013.49,2023-11-13,False,False,normal
C002406,P0036,E16,F057,Contratación Directa,Servicio de limpieza y vigilancia,services,119361.22,2026-05-27,False,False,normal
C001360,P0176,E01,F018,Licitación Pública,Servicio de mantenimiento de infraestructura,services,441735.19,2023-02-17,False,False,normal
C002117,P0186,E08,F028,Concurso Público,Adquisición de bienes de oficina,goods,22494.7,2025-10-19,False,False,normal
C003019,P0107,E17,F012,Adjudicación Simplificada,Obra de rehabilitación vial,works,47152.92,2024-02-27,False,False,normal
C001839,P0110,E12,F021,Adjudicación Simplificada,Servicio de mantenimiento de infraestructura,services,21917.76,2025-03-23,False,False,normal
C000605,P0161,E09,F027,Comparación de Precios,Suministro de combustible,goods,158023.33,2026-01-13,False,False,normal
C001221,P0180,E04,F019,Adjudicación Simplificada,Obra de rehabilitación vial,works,32210.45,2026-06-18,False,False,normal
C000937,P0160,E07,F013,Comparación de Precios,Adquisición de materiales de construcción,goods,128821.62,2026-05-08,False,False,normal
C002174,P0000,E11,F054,Adjudicación Simplificada,Servicio de capacitación,services,91538.24,2024-10-08,False,False,normal
C700044,P0165,E01,F018,Licitación Pública,Servicio de transporte,services,686455.87,2026-06-26,False,False,hard_negative_concentracion_legitima
C000170,P0171,E15,F035,Adjudicación Simplificada,Adquisición de bienes de oficina,goods,393239.8,2024-07-30,False,False,normal
C000538,P0019,E16,F024,Comparación de Precios,Adquisición de equipos informáticos,goods,96784.4,2024-06-03,False,False,normal
C000802,P0145,E07,F036,Comparación de Precios,Obra de rehabilitación vial,works,827765.28,2024-09-29,False,False,normal
C001340,P0115,E04,F053,Adjudicación Simplificada,Suministro de combustible,goods,252696.17,2026-06-21,False,False,normal
C001681,P0101,E03,F000,Adjudicación Simplificada,Obra de rehabilitación vial,works,87338.52,2023-01-10,False,False,normal
C000188,P0088,E03,F000,Adjudicación Simplificada,Obra de rehabilitación vial,works,112860.79,2024-03-12,False,False,normal
C000387,P0209,E10,F026,Adjudicación Simplificada,Suministro de combustible,goods,365460.89,2024-09-22,False,False,normal
C000012,P0205,E13,F058,Contratación Directa,Obra de rehabilitación vial,works,35261.98,2023-06-01,False,False,normal
C000299,P0105,E06,F039,Adjudicación Simplificada,Adquisición de materiales de construcción,goods,32328.58,2023-07-08,False,False,normal
C002319,P0117,E10,F026,Concurso Público,Servicio de capacitación,services,14588.77,2026-03-25,False,False,normal
C000478,P0072,E07,F013,Concurso Público,Suministro de combustible,goods,34664.18,2024-06-20,False,False,normal
C001624,P0092,E05,F001,Comparación de Precios,Consultoría en ingeniería,services,94866.38,2025-02-08,False,False,normal
C000366,P0113,E01,F048,Comparación de Precios,Adquisición de equipos informáticos,goods,119105.05,2024-09-06,False,False,normal
C700082,P0201,E16,F057,Licitación Pública,Adquisición de materiales de construcción,goods,118634.9,2026-05-10,False,False,hard_negative_concentracion_legitima
C700001,P0178,E01,F017,Adjudicación Simplificada,Servicio de capacitación,services,857630.85,2024-04-29,False,False,hard_negative_concentracion_legitima
C002748,P0136,E11,F054,Adjudicación Simplificada,,services,17733.25,2023-12-20,False,False,normal
C000368,P0020,E03,F000,Licitación Pública,Servicio de mantenimiento de infraestructura,services,78734.95,2024-04-12,False,False,normal
C700076,P0133,E04,F019,Licitación Pública,Obra de rehabilitación vial,works,807416.94,2026-01-25,False,False,hard_negative_concentracion_legitima
C003111,P0064,E06,F006,Adjudicación Simplificada,Adquisición de equipos informáticos,goods,102765.81,2024-05-02,False,False,normal
C001611,P0188,E13,F058,Adjudicación Simplificada,Servicio de transporte,services,24951.75,2026-02-20,False,False,normal
C700022,P0143,E06,F006,Concurso Público,Servicio de transporte,services,787476.36,2024-03-12,False,False,hard_negative_concentracion_legitima
C001754,P0100,E14,F016,Comparación de Precios,Servicio de limpieza y vigilancia,services,49485.63,2023-02-27,False,False,normal
C000752,P0121,E15,F035,Adjudicación Simplificada,Obra de rehabilitación vial,works,44214.07,2023-12-24,False,False,normal
C001798,P0050,E11,F049,,Servicio de mantenimiento de infraestructura,services,15005.22,2023-09-24,False,False,normal
C700086,P0201,E16,F042,Licitación Pública,Adquisición de materiales de construcción,goods,323520.09,2025-02-27,False,False,hard_negative_concentracion_legitima
C000879,P0129,E04,F030,Adjudicación Simplificada,Servicio de transporte,services,22817.01,2026-01-08,False,False,normal
C000134,P0004,E06,F039,Comparación de Precios,Servicio de limpieza y vigilancia,services,321842.19,2023-07-31,False,False,normal
C002661,P0122,E00,F041,Adjudicación Simplificada,Adquisición de bienes de oficina,goods,214657.11,2026-06-23,False,False,normal
C002091,P0017,E05,F059,Adjudicación Simplificada,Adquisición de equipos informáticos,goods,132901.69,2024-01-12,False,False,normal
C000229,P0124,E05,F047,Licitación Pública,Adquisición de equipos informáticos,goods,59240.54,2025-05-13,False,False,normal
C003488,P0058,E08,F028,Licitación Pública,Adquisición de equipos informáticos,goods,423847.13,2023-05-25,False,False,normal
C000439,P0169,E00,F041,Contratación Directa,Obra de rehabilitación vial,works,21009.14,2025-10-16,False,False,normal
C000621,P0074,E16,F024,Adjudicación Simplificada,Servicio de capacitación,services,14669.11,2026-06-20,False,False,normal
C002031,P0037,E07,F036,Adjudicación Simplificada,Servicio de mantenimiento de infraestructura,services,94091.37,2024-09-16,False,False,normal
C003285,P0152,E10,F004,Adjudicación Simplificada,Adquisición de equipos informáticos,goods,33515.41,2025-06-20,False,False,normal
C003138,P0049,E00,F010,Adjudicación Simplificada,Suministro de combustible,goods,38249.06,2025-10-10,False,False,normal
C002045,P0013,E09,F034,Contratación Directa,Suministro de combustible,goods,2452.13,2023-03-07,False,False,normal
C001175,P0082,E01,F048,Comparación de Precios,Servicio de mantenimiento de infraestructura,services,226358.03,2023-12-27,False,False,normal
C001613,P0113,E05,F009,Licitación Pública,Adquisición de materiales de construcción,goods,16938.18,2024-11-22,False,False,normal
C001563,P0129,E17,F003,Adjudicación Simplificada,Suministro de combustible,goods,27972.19,2024-05-06,False,False,normal
C002597,P0018,E11,F054,,Servicio de limpieza y vigilancia,services,216473.54,2026-06-23,False,False,normal
C002541,P0201,E11,F054,Licitación Pública,Servicio de transporte,services,53048.0,2025-06-28,False,False,normal
C002118,P0100,E01,F017,Comparación de Precios,Adquisición de equipos informáticos,goods,40418.03,2025-03-22,False,False,normal
C001011,P0103,E01,F048,Concurso Público,Servicio de limpieza y vigilancia,services,142728.95,2024-07-09,False,False,normal
