id_pago,id_contrato,fecha_devengado,fecha_girado,fecha_pagado,monto_devengado,monto_pagado,estado,escenario_sintetico
PG00000117,C003137,2023-06-20,2023-06-30,2023-09-25,18997.42,18997.42,PAGADO,demorado
PG00000118,C800087,2026-05-10,2026-05-19,2026-05-26,16242.58,40949.36,PAGADO,completo
PG00000119,C800087,2026-06-01,2026-06-04,2026-06-05,93559.82,33108.92,PAGADO,completo
PG00000120,C800087,2026-06-16,2026-06-23,2026-07-12,62104.44,97848.56,PAGADO,completo
PG00000121,C001173,2024-01-20,2024-01-20,2024-01-29,78848.06,169013.23,PAGADO,completo
PG00000122,C001173,2024-01-02,2024-01-04,2024-01-14,152340.96,62175.79,PAGADO,completo
PG00000123,C700202,2024-03-26,2024-04-04,2024-04-10,773661.27,773661.27,PAGADO,completo
PG00000124,C001051,2026-08-07,2026-08-07,2026-08-07,7504.38,10215.73,PAGADO,parcial
PG00000125,C001051,2026-08-07,2026-08-07,2026-08-07,17594.9,14883.55,PAGADO,parcial
PG00000126,C001393,2023-07-04,2023-07-14,2023-08-03,16686.28,16686.28,PAGADO,parcial
PG00000127,C000494,2025-03-09,2025-03-13,,64013.27,0.0,PENDIENTE,pendiente
PG00000128,C002991,2026-01-28,2026-02-03,2026-04-17,8915.62,13094.68,PAGADO,demorado
PG00000129,C002991,2026-02-08,2026-02-17,2026-04-25,94850.26,90671.2,PAGADO,demorado
PG00000130,C002130,2024-08-13,2024-08-17,2024-09-06,18608.21,18608.21,PAGADO,completo
PG00000131,C800100,2024-02-18,2024-02-23,2024-03-09,48038.95,9069.9,PAGADO,completo
PG00000132,C800100,2024-04-11,2024-04-19,2024-04-20,66716.35,81310.66,PAGADO,completo
PG00000133,C800100,2024-04-19,2024-04-23,2024-04-28,34806.73,59181.47,PAGADO,completo
PG00000134,C900118,2026-06-10,2026-06-13,2026-08-07,17547.52,92550.35,PAGADO,demorado
PG00000135,C900118,2026-07-13,2026-07-20,2026-08-07,265032.68,190029.85,PAGADO,demorado
PG00000136,C000912,2025-01-09,2025-01-09,2025-01-22,173081.66,173081.66,PAGADO,completo
PG00000137,C002442,2024-12-31,2024-12-31,2025-01-02,208814.42,208814.42,PAGADO,parcial
PG00000138,C002884,2025-07-19,2025-07-19,2025-08-05,8158.65,27473.37,PAGADO,parcial
PG00000139,C002884,2025-07-27,2025-08-04,2025-08-17,55513.05,36198.33,PAGADO,parcial
PG00000140,C002408,2026-07-05,2026-07-06,2026-07-15,19704.58,23812.51,PAGADO,completo
PG00000141,C002408,2026-07-29,2026-07-30,2026-08-07,26067.73,12297.81,PAGADO,completo
PG00000142,C002408,2026-08-02,2026-08-02,2026-08-07,12473.22,22135.21,PAGADO,completo
PG00000143,C002135,2023-08-19,2023-08-29,2023-09-02,88679.66,132899.99,PAGADO,completo
PG00000144,C002135,2023-09-08,2023-09-11,2023-09-17,5169.84,97715.26,PAGADO,completo
PG00000145,C002135,2023-11-05,2023-11-12,2023-11-24,209461.55,72695.8,PAGADO,completo
PG00000146,C001876,2023-12-29,2023-12-31,2024-01-02,28490.2,33410.44,PAGADO,completo
PG00000147,C001876,2024-01-13,2024-01-22,2024-02-08,9084.29,5689.23,PAGADO,completo
PG00000148,C001876,2024-02-15,2024-02-15,2024-03-06,13030.63,11505.45,PAGADO,completo
PG00000149,C700234,2025-06-18,2025-06-24,2025-07-03,108009.03,175421.54,PAGADO,completo
PG00000150,C700234,2025-07-21,2025-07-28,2025-08-10,294702.41,227289.9,PAGADO,completo
PG00000151,C002812,2024-04-10,2024-04-10,2024-04-10,11638.76,7783.98,PAGADO,completo
PG00000152,C002812,2024-04-28,2024-05-08,2024-05-24,27218.01,31323.54,PAGADO,completo
PG00000153,C002812,2024-05-28,2024-06-06,2024-06-19,18592.55,18341.8,PAGADO,completo
PG00000154,C000810,2025-10-26,2025-10-31,2025-11-07,19691.84,34227.7,PAGADO,completo
PG00000155,C000810,2025-11-11,2025-11-12,2025-11-19,34442.4,19906.54,PAGADO,completo
PG00000156,C700033,2024-07-14,2024-07-19,2024-07-23,115200.18,156308.76,PAGADO,completo
PG00000157,C700033,2024-08-18,2024-08-26,2024-09-04,53292.54,12183.96,PAGADO,completo
PG00000158,C001582,2023-04-25,2023-04-25,2023-05-10,5043.89,9632.1,PAGADO,parcial
PG00000159,C001582,2023-04-27,2023-04-28,2023-05-03,38052.74,33464.53,PAGADO,parcial
PG00000160,C001833,2025-01-25,2025-02-04,2025-02-21,347338.36,347338.36,PAGADO,completo
PG00000161,C001784,2025-12-25,2026-01-01,,36500.75,0.0,PENDIENTE,pendiente
PG00000162,C000829,2026-05-04,2026-05-05,2026-05-21,14430.4,25022.78,PAGADO,completo
PG00000163,C000829,2026-04-25,2026-05-02,2026-05-07,11631.74,1039.36,PAGADO,completo
PG00000164,C000907,2024-10-25,2024-10-27,2024-10-28,21606.21,21920.1,PAGADO,completo
PG00000165,C000907,2024-11-28,2024-11-28,2024-12-10,15617.76,25921.67,PAGADO,completo
PG00000166,C000907,2024-12-05,2024-12-12,2024-12-25,16081.85,5464.05,PAGADO,completo
PG00000167,C000150,2023-10-15,2023-10-20,2023-11-02,42790.05,42790.05,PAGADO,completo
PG00000168,C000650,2023-03-12,2023-03-12,2023-03-17,28096.37,24444.14,PAGADO,completo
PG00000169,C000650,2023-04-29,2023-05-08,2023-05-08,22396.65,26048.88,PAGADO,completo
PG00000170,C000120,2025-07-02,2025-07-07,2025-09-03,104668.03,104668.03,PAGADO,demorado
PG00000171,C900295,2026-05-03,2026-05-04,2026-05-08,50153.57,29259.86,PAGADO,completo
PG00000172,C900295,2026-05-18,2026-05-19,2026-05-23,108079.04,164867.44,PAGADO,completo
PG00000173,C900295,2026-06-25,2026-07-05,2026-07-25,126635.13,90740.44,PAGADO,completo
PG00000174,C002741,2025-08-11,2025-08-20,2025-09-07,3275.81,552.74,PAGADO,completo
PG00000175,C002741,2025-08-19,2025-08-22,2025-08-30,1175.48,1099.83,PAGADO,completo
PG00000176,C002741,2025-08-19,2025-08-28,2025-09-12,1741.46,4540.18,PAGADO,completo
PG00000177,C002985,2023-06-21,2023-06-29,2023-07-03,444836.69,444836.69,PAGADO,completo
PG00000178,C900221,2025-04-07,2025-04-07,2025-04-26,416656.08,416656.08,PAGADO,completo
PG00000179,C000468,2024-04-14,2024-04-14,,12490.9,0.0,PENDIENTE,pendiente
PG00000180,C001025,2024-08-12,2024-08-16,2024-08-26,32176.39,32176.39,PAGADO,completo
PG00000181,C000879,2026-01-17,2026-01-27,2026-04-21,14521.98,14317.18,PAGADO,demorado
PG00000182,C000879,2026-02-11,2026-02-12,2026-05-13,8295.03,8499.83,PAGADO,demorado
PG00000183,C000096,2023-11-06,2023-11-08,2023-11-17,122263.15,60303.08,PAGADO,completo
PG00000184,C000096,2023-11-09,2023-11-09,2023-11-11,91890.11,153850.18,PAGADO,completo
PG00000185,C800013,2025-11-09,2025-11-19,,127458.24,0.0,PENDIENTE,pendiente
PG00000186,C900284,2026-01-25,2026-01-28,,236890.01,0.0,PENDIENTE,pendiente
PG00000187,C001829,2024-03-07,2024-03-17,2024-03-22,21246.99,19526.39,PAGADO,completo
PG00000188,C001829,2024-04-01,2024-04-07,2024-04-07,18426.89,20147.49,PAGADO,completo
PG00000189,C900197,2025-08-07,2025-08-12,2025-08-22,235691.22,148208.28,PAGADO,completo
PG00000190,C900197,2025-08-30,2025-09-03,2025-09-19,357875.5,445358.44,PAGADO,completo
PG00000191,C000149,2026-01-27,2026-01-28,,21949.56,0.0,PENDIENTE,pendiente
PG00000192,C002683,2024-02-14,2024-02-21,2024-02-24,136261.9,67778.37,PAGADO,completo
PG00000193,C002683,2024-02-10,2024-02-11,2024-03-01,44928.49,113412.02,PAGADO,completo
PG00000194,C700218,2025-09-08,2025-09-10,2025-09-19,288905.35,30489.11,PAGADO,completo
PG00000195,C700218,2025-10-21,2025-10-31,2025-11-18,84134.19,342550.43,PAGADO,completo
PG00000196,C900166,2025-11-13,2025-11-22,2025-11-28,46631.95,25739.32,PAGADO,completo
PG00000197,C900166,2026-01-04,2026-01-04,2026-01-14,148609.49,86728.34,PAGADO,completo
PG00000198,C900166,2026-01-14,2026-01-17,2026-01-20,18026.16,100799.94,PAGADO,completo
PG00000199,C002177,2026-03-05,2026-03-08,2026-05-12,106840.67,106840.67,PAGADO,demorado
PG00000200,C000999,2024-08-26,2024-09-04,2024-09-13,44605.24,44432.0,PAGADO,completo
PG00000201,C000999,2024-09-19,2024-09-22,2024-09-29,71123.68,105007.81,PAGADO,completo
PG00000202,C000999,2024-09-24,2024-10-03,2024-10-23,46206.94,12496.05,PAGADO,completo
PG00000203,C001864,2023-07-03,2023-07-05,,50979.97,0.0,PENDIENTE,pendiente
PG00000204,C001436,2024-11-24,2024-11-28,2024-12-02,255196.66,54744.55,PAGADO,completo
PG00000205,C001436,2024-12-04,2024-12-13,2024-12-15,47935.49,248387.6,PAGADO,completo
PG00000206,C000157,2023-07-28,2023-08-06,2023-11-10,12246.84,32120.32,PAGADO,demorado
PG00000207,C000157,2023-08-17,2023-08-23,2023-11-21,44901.91,25028.43,PAGADO,demorado
PG00000208,C002183,2025-11-22,2025-12-02,2025-12-20,10404.75,27409.15,PAGADO,completo
PG00000209,C002183,2025-12-31,2026-01-06,2026-01-17,44215.06,27210.66,PAGADO,completo
PG00000210,C700069,2026-04-13,2026-04-20,2026-05-03,203782.64,604567.79,PAGADO,completo
PG00000211,C700069,2026-05-04,2026-05-10,2026-05-30,663253.12,262467.97,PAGADO,completo
PG00000212,C000594,2025-08-02,2025-08-11,2025-08-14,31350.09,19743.52,PAGADO,completo
PG00000213,C000594,2025-08-15,2025-08-20,2025-09-04,25483.49,15743.54,PAGADO,completo
PG00000214,C000594,2025-09-19,2025-09-22,2025-10-07,8972.66,30319.18,PAGADO,completo
PG00000215,C000297,2023-09-27,2023-09-30,2023-11-28,75265.32,42488.81,PAGADO,demorado
PG00000216,C000297,2023-10-24,2023-10-26,2024-01-11,29902.55,62679.06,PAGADO,demorado
PG00000217,C000017,2023-06-12,2023-06-14,2023-06-26,2620.91,24634.32,PAGADO,completo
PG00000218,C000017,2023-07-24,2023-07-24,2023-08-08,43251.2,21237.79,PAGADO,completo
PG00000219,C000831,2024-12-17,2024-12-24,2025-01-02,39188.95,39188.95,PAGADO,completo
PG00000220,C001936,2025-03-18,2025-03-23,2025-03-29,24707.8,16851.22,PAGADO,completo
PG00000221,C001936,2025-03-11,2025-03-19,2025-04-05,3882.29,11738.87,PAGADO,completo
PG00000222,C750054,2025-12-29,2025-12-29,2026-01-14,42025.61,42025.61,PAGADO,parcial
PG00000223,C000555,2024-09-23,2024-09-30,2024-10-03,59422.77,59422.77,PAGADO,completo
PG00000224,C700031,2024-02-19,2024-02-28,2024-03-13,660812.44,660812.44,PAGADO,completo
PG00000225,C002323,2024-08-23,2024-08-31,2024-09-01,8562.19,8147.39,PAGADO,completo
PG00000226,C002323,2024-09-15,2024-09-23,2024-10-08,4511.93,5939.21,PAGADO,completo
PG00000227,C002323,2024-10-19,2024-10-19,2024-10-20,5223.54,4211.06,PAGADO,completo
PG00000228,C001507,2026-06-02,2026-06-03,2026-06-09,101968.97,76572.14,PAGADO,completo
PG00000229,C001507,2026-07-10,2026-07-14,2026-07-22,43822.68,180515.5,PAGADO,completo
PG00000230,C001507,2026-08-07,2026-08-07,2026-08-07,135349.3,24053.31,PAGADO,completo
PG00000231,C003497,2024-07-21,2024-07-28,2024-08-02,82011.09,43332.16,PAGADO,completo
PG00000232,C003497,2024-08-08,2024-08-11,2024-08-26,40772.13,79451.06,PAGADO,completo
PG00000233,C700162,2024-12-09,2024-12-16,,439588.63,0.0,PENDIENTE,pendiente
PG00000234,C003238,2025-05-12,2025-05-17,2025-07-26,4784.8,15328.89,PAGADO,demorado
PG00000235,C003238,2025-06-18,2025-06-25,2025-08-28,12412.2,1868.11,PAGADO,demorado
PG00000236,C002211,2024-08-06,2024-08-09,2024-08-22,56059.63,8444.02,PAGADO,completo
PG00000237,C002211,2024-08-11,2024-08-17,2024-08-18,8402.03,56017.64,PAGADO,completo
PG00000238,C000309,2024-12-20,2024-12-23,2024-12-24,138700.62,277603.58,PAGADO,parcial
PG00000239,C000309,2025-02-07,2025-02-08,2025-02-19,231228.97,92326.01,PAGADO,parcial
PG00000240,C002852,2025-03-03,2025-03-08,2025-03-21,83135.59,54051.47,PAGADO,completo
PG00000241,C002852,2025-03-20,2025-03-27,2025-04-03,25971.98,55056.1,PAGADO,completo
PG00000242,C900135,2025-09-27,2025-09-28,2025-10-09,53260.67,20743.76,PAGADO,completo
PG00000243,C900135,2025-10-07,2025-10-15,2025-10-22,10768.22,43277.26,PAGADO,completo
PG00000244,C900135,2025-10-08,2025-10-13,2025-10-27,17112.67,17120.54,PAGADO,completo
PG00000245,C000461,2024-01-11,2024-01-13,2024-02-01,46561.08,46053.57,PAGADO,completo
PG00000246,C000461,2024-02-12,2024-02-17,2024-03-02,19004.1,19511.61,PAGADO,completo
PG00000247,C800017,2025-02-18,2025-02-21,2025-03-04,247259.73,177811.6,PAGADO,completo
PG00000248,C800017,2025-04-02,2025-04-07,2025-04-19,41887.99,112521.5,PAGADO,completo
PG00000249,C800017,2025-04-05,2025-04-08,2025-04-18,96353.7,95168.32,PAGADO,completo
PG00000250,C003293,2025-07-24,2025-07-30,2025-10-09,70637.9,10362.86,PAGADO,demorado
PG00000251,C003293,2025-07-31,2025-08-10,2025-11-05,2937.02,63212.06,PAGADO,demorado
PG00000252,C001752,2024-06-17,2024-06-25,2024-07-09,40183.9,59381.05,PAGADO,parcial
PG00000253,C001752,2024-07-01,2024-07-09,2024-07-18,96097.4,76900.25,PAGADO,parcial
PG00000254,C700062,2024-11-07,2024-11-11,2024-11-18,79416.69,90033.36,PAGADO,completo
PG00000255,C700062,2024-11-05,2024-11-07,2024-11-09,297666.9,132011.22,PAGADO,completo
PG00000256,C700062,2024-11-22,2024-11-22,2024-11-27,75874.88,230913.89,PAGADO,completo
PG00000257,C001780,2024-11-11,2024-11-12,2024-11-14,35384.07,35140.26,PAGADO,completo
PG00000258,C001780,2024-12-06,2024-12-08,2024-12-27,82354.91,82598.72,PAGADO,completo
PG00000259,C800032,2025-02-17,2025-02-20,2025-03-11,24195.75,34199.95,PAGADO,completo
PG00000260,C800032,2025-02-21,2025-02-21,2025-02-23,32524.69,22520.49,PAGADO,completo
PG00000261,C003198,2026-01-09,2026-01-10,2026-01-21,51895.43,36692.19,PAGADO,sobrepago_senal
PG00000262,C003198,2026-01-22,2026-01-28,2026-02-03,12036.68,27239.92,PAGADO,sobrepago_senal
PG00000263,C001983,2024-05-13,2024-05-15,2024-05-26,218702.66,218702.66,PAGADO,completo
PG00000264,C000151,2024-05-07,2024-05-12,2024-05-12,17108.84,19775.75,PAGADO,parcial
PG00000265,C000151,2024-05-25,2024-05-27,2024-06-04,14893.0,12226.09,PAGADO,parcial
PG00000266,C001808,2025-10-10,2025-10-20,,513333.6,0.0,PENDIENTE,pendiente
PG00000267,C900236,2025-10-17,2025-10-19,2025-10-26,444515.55,196441.56,PAGADO,completo
PG00000268,C900236,2025-10-29,2025-11-08,2025-11-13,27984.93,276058.92,PAGADO,completo
PG00000269,C001157,2024-10-20,2024-10-21,2024-10-23,15878.07,15878.07,PAGADO,parcial
PG00000270,C002684,2024-12-09,2024-12-10,2024-12-15,22577.54,22577.54,PAGADO,parcial
PG00000271,C002986,2025-10-20,2025-10-24,2025-11-09,25674.07,33188.83,PAGADO,completo
PG00000272,C002986,2025-11-12,2025-11-12,2025-11-18,34418.1,72464.17,PAGADO,completo
PG00000273,C002986,2025-11-25,2025-11-30,2025-12-05,81511.37,35950.54,PAGADO,completo
PG00000274,C750051,2026-01-03,2026-01-10,2026-01-19,125273.65,50980.23,PAGADO,completo
PG00000275,C750051,2026-01-17,2026-01-26,2026-02-10,25430.94,99724.36,PAGADO,completo
PG00000276,C000497,2023-10-16,2023-10-16,2023-10-27,9724.7,8427.84,PAGADO,completo
