id_proveedor,id_entidad,objeto,n_contratos_grupo,max_contratos_ventana_15d,monto_total_ventana_15d,pct_montos_bajo_umbral,monto_total_grupo,label_fraccionamiento_real
P0094,E05,Suministro de combustible,2,1,150611.02,1.0,201385.83,False
P0095,E13,Suministro de combustible,2,1,33811.3,1.0,65330.990000000005,False
P0095,E16,Consultoría en ingeniería,2,1,262573.05,1.0,378673.77,False
P0096,E09,Servicio de capacitación,2,1,17200.31,1.0,81040.41,False
P0098,E02,Servicio de transporte,3,3,490285.62,1.0,490285.62,True
P0098,E14,Obra de rehabilitación vial,2,1,39165.82,1.0,140958.55,False
P0099,E05,Suministro de combustible,2,1,40681.44,1.0,131453.53,False
P0099,E10,Obra de rehabilitación vial,2,1,12676.34,1.0,108060.2,False
P0100,E17,Adquisición de materiales de construcción,2,1,24099.86,1.0,136905.49,False
P0101,E14,Servicio de mantenimiento de infraestructura,2,1,61898.21,1.0,186820.46,False
P0101,E15,Servicio de capacitación,2,2,152230.54,1.0,152230.54,False
P0103,E07,Servicio de limpieza y vigilancia,2,1,149982.83,1.0,227360.91999999998,False
P0105,E16,Servicio de limpieza y vigilancia,2,1,39825.76,1.0,113214.29000000001,False
P0107,E17,Servicio de limpieza y vigilancia,3,3,535453.48,1.0,535453.48,True
P0108,E02,Servicio de capacitación,2,1,19010.25,1.0,65079.26,False
P0112,E09,Adquisición de bienes de oficina,2,1,37427.59,1.0,95453.51999999999,False
P0112,E14,Consultoría en ingeniería,2,1,301960.3,1.0,507209.35,False
P0112,E16,Servicio de transporte,2,1,51062.16,1.0,65201.79,False
P0113,E11,Consultoría en ingeniería,2,1,127948.77,1.0,166359.74,False
P0113,E11,Suministro de combustible,2,1,37812.12,1.0,197810.06,False
P0114,E02,Adquisición de bienes de oficina,2,1,29785.55,1.0,95301.73,False
P0118,E15,Adquisición de bienes de oficina,2,1,998574.32,0.5,1018820.48,False
P0119,E13,Adquisición de equipos informáticos,2,1,232858.01,1.0,266361.82,False
P0123,E00,Servicio de limpieza y vigilancia,2,1,40109.6,1.0,178502.68,False
P0123,E03,Consultoría en ingeniería,2,1,20772.03,1.0,40124.44,False
P0124,E07,Servicio de limpieza y vigilancia,2,1,14681.05,1.0,123867.31,False
P0124,E14,Servicio de transporte,2,1,64049.42,1.0,91868.56,False
P0131,E00,Servicio de transporte,2,1,110521.5,1.0,183149.78999999998,False
P0132,E14,Adquisición de equipos informáticos,2,1,186969.5,1.0,267814.86,False
P0132,E15,Servicio de mantenimiento de infraestructura,2,2,80454.09,1.0,80454.09,False
P0133,E00,Adquisición de bienes de oficina,2,1,85171.26,1.0,94864.01999999999,False
P0133,E07,Obra de rehabilitación vial,2,1,162316.23,1.0,186096.66,False
P0134,E17,Servicio de capacitación,2,1,49988.59,1.0,99582.13,False
P0135,E03,Servicio de limpieza y vigilancia,2,1,24066.03,1.0,202265.7,False
P0137,E12,Adquisición de materiales de construcción,2,1,310672.03,1.0,352051.69000000006,False
P0138,E00,Servicio de mantenimiento de infraestructura,14,2,348947.80000000005,1.0,3055932.4300000006,False
P0143,E08,Servicio de limpieza y vigilancia,2,1,115895.31,1.0,131529.98,False
P0143,E17,Obra de rehabilitación vial,2,1,71744.28,1.0,270479.72,False
P0144,E05,Suministro de combustible,2,1,19930.17,1.0,98188.78,False
P0145,E03,Adquisición de equipos informáticos,2,1,87338.52,1.0,126368.36,False
P0145,E06,Adquisición de equipos informáticos,2,1,29845.46,1.0,206001.19999999998,False
P0145,E08,Adquisición de bienes de oficina,2,1,1283021.03,0.5,1432652.44,False
P0146,E07,Adquisición de bienes de oficina,2,1,63906.03,1.0,80733.95999999999,False
P0147,E17,Adquisición de bienes de oficina,3,3,586313.49,1.0,586313.49,True
P0148,E04,Adquisición de equipos informáticos,2,1,59141.06,1.0,225865.7,False
P0149,E05,Servicio de transporte,2,1,220480.62,1.0,417395.07999999996,False
P0149,E09,Obra de rehabilitación vial,2,1,35120.76,1.0,51341.04,False
P0153,E12,Servicio de transporte,2,1,137918.64,1.0,175842.7,False
P0154,E16,Servicio de capacitación,10,2,415898.87,1.0,1714248.79,False
P0155,E07,Adquisición de bienes de oficina,2,1,60560.12,1.0,112294.92000000001,False
P0155,E16,Servicio de capacitación,2,1,75160.42,1.0,248242.08000000002,False
P0157,E00,Servicio de capacitación,2,1,13080.45,1.0,138928.1,False
P0157,E05,Adquisición de bienes de oficina,2,1,44988.41,1.0,98882.49,False
P0159,E10,Servicio de limpieza y vigilancia,2,1,51038.11,1.0,166190.27000000002,False
P0162,E16,Servicio de capacitación,2,1,67482.73,1.0,146560.72999999998,False
P0167,E17,Servicio de capacitación,2,1,106070.49,1.0,133701.76,False
P0168,E17,Suministro de combustible,12,2,316176.77,1.0,2712686.81,False
P0173,E00,Suministro de combustible,2,1,58499.08,1.0,114920.11,False
P0173,E13,Adquisición de equipos informáticos,2,1,111263.69,1.0,148850.68,False
P0174,E12,Servicio de transporte,2,1,25691.05,1.0,164130.61,False
P0176,E15,Servicio de transporte,2,1,15892.57,1.0,95258.91,False
P0177,E12,Servicio de limpieza y vigilancia,2,1,60535.52,1.0,78405.81999999999,False
P0180,E09,Servicio de capacitación,2,1,106100.1,1.0,156870.17,False
P0182,E06,Adquisición de equipos informáticos,2,1,34993.37,1.0,43998.54,False
P0184,E11,Servicio de transporte,2,1,69440.33,1.0,91814.64,False
P0186,E11,Servicio de limpieza y vigilancia,2,1,48561.74,1.0,80654.94,False
P0186,E13,Adquisición de bienes de oficina,2,1,51829.16,0.5,718602.9700000001,False
P0187,E06,Adquisición de equipos informáticos,2,1,23925.04,1.0,50784.71,False
P0187,E13,Adquisición de equipos informáticos,2,1,133409.47,1.0,198093.29499999998,False
P0188,E13,Obra de rehabilitación vial,2,1,30497.29,1.0,85487.20000000001,False
P0195,E05,Adquisición de materiales de construcción,2,1,105762.96,1.0,165118.55,False
P0195,E09,Obra de rehabilitación vial,2,1,13601.84,1.0,217890.88,False
P0196,E07,Adquisición de bienes de oficina,2,1,111343.18,1.0,199493.56,False
P0196,E07,Servicio de capacitación,2,1,30123.82,1.0,97711.29000000001,False
P0196,E13,Servicio de transporte,2,1,57864.52,1.0,350084.23000000004,False
P0196,E16,Servicio de mantenimiento de infraestructura,2,1,77866.35,1.0,161360.54,False
P0197,E01,Servicio de limpieza y vigilancia,2,1,82502.28,1.0,137131.18,False
P0198,E09,Adquisición de materiales de construcción,2,1,59706.38,1.0,69897.42,False
P0199,E07,Servicio de mantenimiento de infraestructura,2,1,103124.0,1.0,167420.77,False
P0199,E17,Adquisición de materiales de construcción,2,1,47172.74,1.0,105782.32999999999,False
P0200,E08,Servicio de limpieza y vigilancia,3,3,751232.565,1.0,751232.565,True
P0202,E09,Adquisición de equipos informáticos,2,1,93274.8,1.0,102081.59,False
P0203,E01,Servicio de limpieza y vigilancia,2,1,61530.634999999995,1.0,99998.295,False
P0203,E10,Servicio de capacitación,2,1,86509.55,1.0,285049.56,False
P0208,E17,Consultoría en ingeniería,2,1,85574.44,1.0,111276.82,False
P0211,E16,Adquisición de equipos informáticos,2,1,257459.28,1.0,289916.37,False
P0212,E10,Suministro de combustible,2,1,80947.19,1.0,301798.41000000003,False
P0213,E01,Adquisición de bienes de oficina,2,1,14446.92,1.0,76231.36,False
P0213,E03,Adquisición de equipos informáticos,2,1,3404.81,1.0,16778.27,False
P0216,E11,Servicio de transporte,2,1,21871.98,1.0,472235.06,False
P0217,E16,Adquisición de bienes de oficina,2,1,6183.58,1.0,150889.84,False
