id_contrato,id_proveedor,id_entidad,id_funcionario,modalidad,objeto,categoria_principal,monto,fecha_contrato,es_favoritismo_real,es_fraccionamiento_real
CN000491,P0061,E17,F031,Contratación Directa,Obra de rehabilitación vial,works,43893.58,2026-08-03,False,False
CN000163,P0121,E07,F023,Contratación Directa,Servicio de mantenimiento de infraestructura,services,141066.22,2026-08-14,False,False
CN000696,P0131,E17,F012,Contratación Directa,Servicio de limpieza y vigilancia,services,96089.6,2026-08-18,False,False
CN000064,P0179,E06,F006,Contratación Directa,Adquisición de bienes de oficina,goods,9190.88,2026-07-19,False,False
CN000502,P0051,E13,F058,Contratación Directa,Suministro de combustible,goods,55923.96,2026-07-29,False,False
CN000605,P0061,E00,F010,Comparación de Precios,Servicio de transporte,services,151887.75,2026-07-07,False,False
CN000032,P0135,E17,F003,Contratación Directa,Servicio de capacitación,services,50576.61,2026-07-16,False,False
CN000556,P0055,E00,F038,Comparación de Precios,Obra de rehabilitación vial,works,118779.91,2026-08-08,False,False
CN000048,P0027,E02,F025,Contratación Directa,Servicio de mantenimiento de infraestructura,services,142432.56,2026-08-04,False,False
CN000030,P0172,E00,F041,Contratación Directa,Consultoría en ingeniería,services,41788.6,2026-09-01,False,False
CN000386,P0095,E17,F012,Comparación de Precios,Suministro de combustible,goods,93282.15,2026-08-28,False,False
CN000316,P0065,E16,F024,Contratación Directa,Servicio de transporte,services,189631.4,2026-07-12,False,False
CN000348,P0119,E00,F041,Concurso Público,Adquisición de equipos informáticos,goods,103552.38,2026-08-21,False,False
CN000601,P0100,E09,F043,Contratación Directa,Adquisición de bienes de oficina,goods,284223.28,2026-09-29,False,False
CN000275,P0200,E16,F024,Contratación Directa,Obra de rehabilitación vial,works,25842.6,2026-09-24,False,False
CN000555,P0063,E03,F000,Comparación de Precios,Servicio de capacitación,services,9866.46,2026-07-18,False,False
CN000107,P0016,E09,F046,Licitación Pública,Servicio de mantenimiento de infraestructura,services,3723.75,2026-09-24,False,False
CN000375,P0213,E10,F004,Contratación Directa,Servicio de limpieza y vigilancia,services,108075.51,2026-08-10,False,False
CN000441,P0094,E09,F027,Contratación Directa,Suministro de combustible,goods,53086.45,2026-07-18,False,False
CN000006,P0058,E11,F054,Comparación de Precios,Servicio de mantenimiento de infraestructura,services,25809.02,2026-07-14,False,False
CN000318,P0120,E03,F000,Licitación Pública,Obra de rehabilitación vial,works,75607.53,2026-07-24,False,False
CN000620,P0138,E15,F035,Comparación de Precios,Adquisición de bienes de oficina,goods,84422.17,2026-09-03,False,False
CN000136,P0202,E04,F019,Contratación Directa,Servicio de limpieza y vigilancia,services,26511.7,2026-09-14,False,False
CN000177,P0028,E06,F039,Adjudicación Simplificada,Servicio de transporte,services,116163.91,2026-08-09,False,False
CND0500,P0155,E10,F008,Contratación Directa,Servicio de mantenimiento de infraestructura,services,1101885.14,2026-08-25,True,False
CN000124,P0169,E10,F026,Comparación de Precios,Servicio de capacitación,services,48726.51,2026-07-11,False,False
CN000407,P0101,E05,F032,Comparación de Precios,Suministro de combustible,goods,35578.23,2026-07-19,False,False
CN000018,P0129,E01,F017,Adjudicación Simplificada,Suministro de combustible,goods,47731.0,2026-09-06,False,False
CN000699,P0168,E04,F019,Contratación Directa,Adquisición de bienes de oficina,goods,79238.08,2026-08-21,False,False
CN000501,P0191,E05,F052,Comparación de Precios,Adquisición de materiales de construcción,goods,18347.44,2026-09-07,False,False
CN000129,P0082,E16,F024,Licitación Pública,Servicio de limpieza y vigilancia,services,93894.51,2026-09-17,False,False
CN000437,P0099,E05,F052,Contratación Directa,Servicio de limpieza y vigilancia,services,57464.97,2026-09-06,False,False
CN000536,P0133,E14,F016,Contratación Directa,Adquisición de materiales de construcción,goods,70266.71,2026-09-27,False,False
CN000206,P0029,E13,F056,Adjudicación Simplificada,Suministro de combustible,goods,36556.17,2026-09-25,False,False
CN000174,P0128,E11,F049,Comparación de Precios,Adquisición de materiales de construcción,goods,98217.28,2026-08-30,False,False
CN000074,P0100,E14,F040,Comparación de Precios,Consultoría en ingeniería,services,26792.64,2026-09-02,False,False
CN000527,P0209,E09,F027,Comparación de Precios,Consultoría en ingeniería,services,52482.04,2026-09-16,False,False
CN000219,P0082,E00,F041,Comparación de Precios,Servicio de transporte,services,16005.14,2026-07-11,False,False
CN000384,P0210,E03,F000,Contratación Directa,Adquisición de equipos informáticos,goods,21473.14,2026-08-29,False,False
CN000119,P0005,E02,F011,Contratación Directa,Servicio de transporte,services,53340.59,2026-08-24,False,False
CND0002,P0066,E15,F035,Contratación Directa,Adquisición de materiales de construcción,goods,940110.31,2026-09-26,True,False
CN000027,P0027,E01,F018,Comparación de Precios,Adquisición de equipos informáticos,goods,55371.28,2026-08-17,False,False
CN000188,P0194,E08,F028,Contratación Directa,Servicio de mantenimiento de infraestructura,services,29970.0,2026-07-14,False,False
CN000301,P0131,E02,F051,Comparación de Precios,Servicio de capacitación,services,88302.09,2026-09-01,False,False
CN000567,P0180,E13,F058,Comparación de Precios,Obra de rehabilitación vial,works,25989.89,2026-07-23,False,False
CN000134,P0168,E10,F004,Contratación Directa,Suministro de combustible,goods,141927.32,2026-07-13,False,False
CN000253,P0070,E05,F001,Contratación Directa,Servicio de capacitación,services,33743.31,2026-09-08,False,False
CN000507,P0123,E12,F050,Contratación Directa,Servicio de transporte,services,97679.98,2026-07-31,False,False
CN000154,P0062,E17,F012,Contratación Directa,Adquisición de materiales de construcción,goods,80036.85,2026-09-08,False,False
CN000637,P0202,E14,F029,Licitación Pública,Servicio de capacitación,services,68942.74,2026-08-12,False,False
CN000143,P0095,E12,F050,Comparación de Precios,Adquisición de equipos informáticos,goods,20112.59,2026-08-14,False,False
CN000245,P0169,E13,F055,Contratación Directa,Consultoría en ingeniería,services,22131.5,2026-08-17,False,False
CN000329,P0217,E05,F047,Comparación de Precios,Adquisición de bienes de oficina,goods,51470.87,2026-09-17,False,False
CND0302,P0113,E15,F035,Contratación Directa,Servicio de capacitación,services,1275036.46,2026-08-17,True,False
CN000300,P0199,E09,F043,Contratación Directa,Obra de rehabilitación vial,works,324916.03,2026-09-10,False,False
CN000500,P0173,E06,F006,Licitación Pública,Servicio de mantenimiento de infraestructura,services,69396.66,2026-07-22,False,False
CN000568,P0097,E03,F000,Comparación de Precios,Suministro de combustible,goods,39343.62,2026-07-17,False,False
CN000415,P0020,E09,F033,Comparación de Precios,Suministro de combustible,goods,42110.72,2026-07-13,False,False
CN000550,P0011,E04,F030,Comparación de Precios,Servicio de limpieza y vigilancia,services,66109.35,2026-09-08,False,False
CN000647,P0179,E11,F049,Contratación Directa,Servicio de mantenimiento de infraestructura,services,30637.7,2026-07-24,False,False
CN000313,P0068,E16,F024,Contratación Directa,Servicio de capacitación,services,14916.94,2026-08-17,False,False
CN000512,P0211,E08,F028,Contratación Directa,Servicio de limpieza y vigilancia,services,69354.46,2026-08-10,False,False
CN000399,P0188,E04,F030,Contratación Directa,Consultoría en ingeniería,services,16221.04,2026-09-03,False,False
CN000131,P0002,E08,F028,Licitación Pública,Servicio de transporte,services,97664.91,2026-09-06,False,False
CN000471,P0094,E09,F027,Comparación de Precios,Adquisición de bienes de oficina,goods,13181.32,2026-07-09,False,False
CN000570,P0192,E17,F012,Comparación de Precios,Adquisición de bienes de oficina,goods,18793.25,2026-09-18,False,False
CN000009,P0176,E11,F007,Adjudicación Simplificada,Servicio de transporte,services,84598.84,2026-07-09,False,False
CN000010,P0025,E02,F051,Contratación Directa,Suministro de combustible,goods,63554.24,2026-08-15,False,False
CN000440,P0118,E01,F018,Contratación Directa,Servicio de capacitación,services,594625.19,2026-07-28,False,False
CN000372,P0134,E00,F010,Contratación Directa,Servicio de capacitación,services,25984.06,2026-09-20,False,False
CN000289,P0156,E13,F058,Comparación de Precios,Servicio de transporte,services,8562.61,2026-09-15,False,False
CN000105,P0079,E13,F056,Contratación Directa,Suministro de combustible,goods,15211.76,2026-07-29,False,False
CN000230,P0130,E07,F023,Contratación Directa,Servicio de limpieza y vigilancia,services,187583.75,2026-08-29,False,False
CN000081,P0095,E11,F007,Contratación Directa,Adquisición de materiales de construcción,goods,134408.14,2026-09-18,False,False
CN000465,P0052,E14,F016,Adjudicación Simplificada,Suministro de combustible,goods,63248.14,2026-08-23,False,False
CN000497,P0034,E02,F011,Concurso Público,Suministro de combustible,goods,103716.4,2026-07-06,False,False
CN000371,P0046,E12,F050,Comparación de Precios,Servicio de mantenimiento de infraestructura,services,78922.9,2026-07-18,False,False
CN000669,P0162,E00,F041,Comparación de Precios,Servicio de limpieza y vigilancia,services,173255.72,2026-08-08,False,False
CN000562,P0020,E13,F058,Comparación de Precios,Adquisición de bienes de oficina,goods,71481.18,2026-07-06,False,False
CN000049,P0034,E07,F023,Licitación Pública,Adquisición de equipos informáticos,goods,123479.68,2026-08-29,False,False
CN000666,P0016,E01,F048,Contratación Directa,Consultoría en ingeniería,services,90054.32,2026-08-20,False,False
CN000026,P0201,E08,F022,Contratación Directa,Suministro de combustible,goods,6187.69,2026-08-15,False,False
CN000487,P0094,E04,F053,Contratación Directa,Obra de rehabilitación vial,works,127823.01,2026-09-23,False,False
CN000401,P0160,E13,F056,Licitación Pública,Servicio de capacitación,services,52936.8,2026-09-09,False,False
CN000539,P0066,E03,F000,Comparación de Precios,Servicio de transporte,services,64075.87,2026-07-11,False,False
CN000369,P0068,E11,F049,Contratación Directa,Servicio de mantenimiento de infraestructura,services,32669.1,2026-09-21,False,False
CN000377,P0040,E08,F020,Contratación Directa,Servicio de capacitación,services,157718.33,2026-07-18,False,False
CN000614,P0112,E12,F021,Contratación Directa,Suministro de combustible,goods,486323.15,2026-07-10,False,False
CN000476,P0189,E11,F007,Comparación de Precios,Servicio de transporte,services,56329.53,2026-07-30,False,False
CN000480,P0070,E03,F000,Comparación de Precios,Suministro de combustible,goods,140997.76,2026-09-15,False,False
CN000473,P0145,E05,F009,Contratación Directa,Adquisición de equipos informáticos,goods,11199.31,2026-07-03,False,False
CN000138,P0127,E06,F039,Contratación Directa,Servicio de mantenimiento de infraestructura,services,145843.63,2026-09-16,False,False
CN000294,P0068,E17,F012,Contratación Directa,Adquisición de bienes de oficina,goods,12698.89,2026-07-15,False,False
CN000686,P0046,E16,F057,Contratación Directa,Servicio de transporte,services,39427.6,2026-09-25,False,False
CN000494,P0150,E11,F049,Comparación de Precios,Consultoría en ingeniería,services,267829.19,2026-09-06,False,False
CN000456,P0136,E00,F041,Contratación Directa,Consultoría en ingeniería,services,296537.6,2026-08-23,False,False
CN000344,P0047,E10,F004,Contratación Directa,Servicio de mantenimiento de infraestructura,services,281881.17,2026-09-17,False,False
CN000664,P0011,E09,F046,Contratación Directa,Servicio de mantenimiento de infraestructura,services,33527.17,2026-08-22,False,False
CND0000,P0066,E15,F035,Contratación Directa,Adquisición de materiales de construcción,goods,1411360.12,2026-07-18,True,False
CN000525,P0046,E13,F058,Comparación de Precios,Consultoría en ingeniería,services,33872.9,2026-08-04,False,False
CN000442,P0031,E17,F012,Adjudicación Simplificada,Servicio de transporte,services,17416.68,2026-07-22,False,False
CN000396,P0063,E16,F002,Contratación Directa,Servicio de capacitación,services,35298.03,2026-08-03,False,False
CN000410,P0092,E05,F032,Licitación Pública,Adquisición de bienes de oficina,goods,31975.4,2026-07-25,False,False
CN000680,P0090,E14,F040,Contratación Directa,Suministro de combustible,goods,63885.26,2026-07-01,False,False
CN000144,P0125,E16,F002,Comparación de Precios,Servicio de transporte,services,14632.69,2026-09-21,False,False
CN000411,P0197,E04,F019,Contratación Directa,Adquisición de equipos informáticos,goods,101494.3,2026-07-10,False,False
CN000453,P0010,E13,F056,Contratación Directa,Adquisición de bienes de oficina,goods,91418.72,2026-08-07,False,False
CN000086,P0081,E06,F039,Comparación de Precios,Obra de rehabilitación vial,works,630168.91,2026-07-09,False,False
CN000050,P0193,E02,F051,Comparación de Precios,Servicio de mantenimiento de infraestructura,services,50679.16,2026-08-25,False,False
CN000655,P0155,E03,F000,Contratación Directa,Consultoría en ingeniería,services,25630.38,2026-08-04,False,False
CN000037,P0202,E10,F008,Contratación Directa,Suministro de combustible,goods,52981.41,2026-08-01,False,False
CN000057,P0142,E15,F035,Contratación Directa,Servicio de mantenimiento de infraestructura,services,16530.12,2026-07-29,False,False
CN000603,P0147,E00,F041,Contratación Directa,Servicio de capacitación,services,203753.6,2026-08-05,False,False
CN000466,P0203,E14,F040,Comparación de Precios,Servicio de transporte,services,37326.79,2026-09-22,False,False
CN000036,P0181,E12,F021,Contratación Directa,Consultoría en ingeniería,services,249001.0,2026-08-28,False,False
CN000542,P0102,E14,F040,Concurso Público,Adquisición de materiales de construcción,goods,8943.02,2026-08-30,False,False
CN000600,P0085,E00,F038,Contratación Directa,Servicio de limpieza y vigilancia,services,404941.28,2026-08-17,False,False
CN000263,P0003,E02,F025,Adjudicación Simplificada,Servicio de limpieza y vigilancia,services,110316.81,2026-09-19,False,False
CN000545,P0099,E14,F016,Concurso Público,Consultoría en ingeniería,services,55647.5,2026-07-27,False,False
CN000569,P0088,E06,F039,Contratación Directa,Adquisición de equipos informáticos,goods,218631.52,2026-07-26,False,False
CN000267,P0011,E15,F035,Comparación de Precios,Adquisición de equipos informáticos,goods,47836.26,2026-08-10,False,False
CN000259,P0053,E05,F052,Comparación de Precios,Servicio de transporte,services,68155.82,2026-09-18,False,False
CN000172,P0035,E12,F021,Comparación de Precios,Consultoría en ingeniería,services,52669.9,2026-09-14,False,False
CN000199,P0176,E00,F041,Contratación Directa,Servicio de mantenimiento de infraestructura,services,30657.11,2026-07-26,False,False
CN000007,P0046,E05,F032,Contratación Directa,Servicio de capacitación,services,34711.27,2026-08-10,False,False
CN000167,P0072,E06,F039,Contratación Directa,Servicio de limpieza y vigilancia,services,109845.33,2026-08-15,False,False
CN000648,P0133,E11,F054,Contratación Directa,Suministro de combustible,goods,133253.87,2026-09-23,False,False
CN000452,P0061,E14,F029,Comparación de Precios,Servicio de mantenimiento de infraestructura,services,47315.2,2026-09-09,False,False
CN000166,P0004,E16,F057,Contratación Directa,Servicio de mantenimiento de infraestructura,services,269523.6,2026-08-16,False,False
CN000356,P0161,E07,F036,Contratación Directa,Adquisición de bienes de oficina,goods,18781.46,2026-08-18,False,False
CN000309,P0106,E09,F033,Adjudicación Simplificada,Adquisición de bienes de oficina,goods,15702.37,2026-08-08,False,False
CND0402,P0135,E05,F052,Contratación Directa,Servicio de limpieza y vigilancia,services,986325.45,2026-07-17,True,False
CN000331,P0103,E02,F025,Comparación de Precios,Adquisición de materiales de construcción,goods,183847.02,2026-09-23,False,False
CN000650,P0143,E17,F012,Adjudicación Simplificada,Servicio de limpieza y vigilancia,services,34361.31,2026-08-01,False,False
CN000065,P0129,E12,F021,Licitación Pública,Adquisición de bienes de oficina,goods,11833.95,2026-09-06,False,False
CN000684,P0113,E12,F021,Comparación de Precios,Servicio de limpieza y vigilancia,services,39750.46,2026-08-18,False,False
CN000681,P0124,E03,F000,Comparación de Precios,Suministro de combustible,goods,61795.54,2026-09-16,False,False
CN000183,P0216,E09,F034,Contratación Directa,Servicio de capacitación,services,179025.58,2026-07-06,False,False
CN000477,P0026,E16,F042,Contratación Directa,Suministro de combustible,goods,32441.56,2026-07-28,False,False
CN000464,P0146,E15,F035,Contratación Directa,Servicio de transporte,services,10819.67,2026-08-02,False,False
CN000639,P0040,E11,F007,Comparación de Precios,Adquisición de bienes de oficina,goods,84568.16,2026-09-06,False,False
CN000111,P0178,E15,F035,Comparación de Precios,Servicio de mantenimiento de infraestructura,services,40519.08,2026-09-23,False,False
CN000403,P0051,E15,F035,Comparación de Precios,Adquisición de equipos informáticos,goods,74521.25,2026-08-03,False,False
CN000629,P0013,E04,F019,Concurso Público,Adquisición de materiales de construcción,goods,22199.1,2026-08-07,False,False
CN000468,P0116,E02,F025,Contratación Directa,Obra de rehabilitación vial,works,44606.81,2026-07-04,False,False
CN000606,P0061,E05,F037,Contratación Directa,Suministro de combustible,goods,300839.33,2026-07-11,False,False
CN000222,P0209,E07,F013,Contratación Directa,Consultoría en ingeniería,services,169613.92,2026-08-05,False,False
CN000516,P0004,E13,F055,Contratación Directa,Obra de rehabilitación vial,works,201693.71,2026-07-23,False,False
CN000338,P0151,E12,F050,Contratación Directa,Obra de rehabilitación vial,works,783339.15,2026-07-27,False,False
CN000152,P0200,E04,F053,Adjudicación Simplificada,Adquisición de bienes de oficina,goods,152292.26,2026-09-19,False,False
CN000630,P0071,E08,F020,Comparación de Precios,Adquisición de equipos informáticos,goods,161779.61,2026-07-30,False,False
CN000592,P0172,E04,F053,Comparación de Precios,Servicio de mantenimiento de infraestructura,services,322562.89,2026-08-23,False,False
CN000208,P0066,E12,F050,Comparación de Precios,Adquisición de materiales de construcción,goods,84345.37,2026-08-10,False,False
CN000571,P0187,E01,F018,Contratación Directa,Adquisición de bienes de oficina,goods,36293.71,2026-08-24,False,False
CN000526,P0089,E07,F023,Comparación de Precios,Consultoría en ingeniería,services,304662.9,2026-07-21,False,False
CN000332,P0110,E07,F013,Contratación Directa,Servicio de limpieza y vigilancia,services,67435.36,2026-08-11,False,False
CN000508,P0114,E08,F015,Adjudicación Simplificada,Suministro de combustible,goods,17688.44,2026-07-14,False,False
CN000217,P0111,E09,F033,Contratación Directa,Servicio de mantenimiento de infraestructura,services,191227.86,2026-09-29,False,False
CN000137,P0063,E10,F026,Contratación Directa,Servicio de mantenimiento de infraestructura,services,28645.94,2026-09-24,False,False
CN000126,P0098,E01,F018,Contratación Directa,Servicio de capacitación,services,110942.25,2026-07-24,False,False
CN000226,P0169,E09,F046,Comparación de Precios,Adquisición de materiales de construcción,goods,32474.74,2026-07-07,False,False
CN000498,P0094,E08,F022,Comparación de Precios,Adquisición de equipos informáticos,goods,26157.67,2026-09-22,False,False
CN000382,P0008,E10,F004,Contratación Directa,Servicio de mantenimiento de infraestructura,services,47499.34,2026-08-01,False,False
CN000214,P0047,E17,F031,Contratación Directa,Servicio de mantenimiento de infraestructura,services,111977.3,2026-09-09,False,False
CN000552,P0175,E17,F012,Contratación Directa,Servicio de limpieza y vigilancia,services,65881.98,2026-07-26,False,False
CN000467,P0068,E16,F024,Contratación Directa,Servicio de limpieza y vigilancia,services,71321.84,2026-09-02,False,False
CN000362,P0137,E08,F022,Licitación Pública,Adquisición de bienes de oficina,goods,37556.86,2026-08-17,False,False
CN000653,P0075,E08,F028,Contratación Directa,Adquisición de bienes de oficina,goods,89898.88,2026-07-24,False,False
CN000103,P0099,E15,F035,Contratación Directa,Obra de rehabilitación vial,works,28822.2,2026-09-03,False,False
CN000511,P0008,E04,F053,Contratación Directa,Servicio de mantenimiento de infraestructura,services,43589.27,2026-07-10,False,False
CN000053,P0170,E06,F006,Comparación de Precios,Obra de rehabilitación vial,works,33772.95,2026-07-24,False,False
CN000269,P0111,E12,F021,Comparación de Precios,Servicio de transporte,services,81834.2,2026-08-12,False,False
CN000153,P0172,E13,F055,Adjudicación Simplificada,Servicio de mantenimiento de infraestructura,services,57875.2,2026-09-02,False,False
CN000180,P0200,E05,F037,Contratación Directa,Servicio de capacitación,services,70836.47,2026-07-20,False,False
CN000281,P0210,E14,F016,Contratación Directa,Servicio de transporte,services,25333.29,2026-09-28,False,False
CN000623,P0194,E06,F006,Contratación Directa,Servicio de mantenimiento de infraestructura,services,86531.18,2026-09-05,False,False
CN000632,P0097,E17,F031,Comparación de Precios,Servicio de transporte,services,91547.12,2026-07-14,False,False
CN000302,P0037,E12,F021,Adjudicación Simplificada,Obra de rehabilitación vial,works,59262.09,2026-08-30,False,False
CN000224,P0058,E02,F011,Comparación de Precios,Obra de rehabilitación vial,works,11142.33,2026-08-30,False,False
CN000141,P0216,E11,F007,Comparación de Precios,Adquisición de equipos informáticos,goods,178884.41,2026-07-14,False,False
CN000597,P0057,E16,F024,Contratación Directa,Adquisición de materiales de construcción,goods,14206.06,2026-07-20,False,False
CN000549,P0135,E16,F042,Comparación de Precios,Adquisición de equipos informáticos,goods,75609.96,2026-08-12,False,False
CN000071,P0054,E00,F041,Comparación de Precios,Servicio de transporte,services,150130.74,2026-07-13,False,False
CN000690,P0021,E00,F041,Licitación Pública,Suministro de combustible,goods,21420.25,2026-09-20,False,False
CN000288,P0129,E14,F040,Adjudicación Simplificada,Servicio de transporte,services,29996.33,2026-08-31,False,False
CN000683,P0062,E12,F021,Comparación de Precios,Servicio de capacitación,services,276195.95,2026-08-12,False,False
CN000368,P0142,E08,F020,Concurso Público,Consultoría en ingeniería,services,105198.63,2026-07-05,False,False
CN000378,P0139,E10,F004,Adjudicación Simplificada,Consultoría en ingeniería,services,152895.31,2026-07-21,False,False
CN000210,P0060,E08,F014,Contratación Directa,Consultoría en ingeniería,services,63284.63,2026-09-04,False,False
CN000272,P0078,E08,F020,Comparación de Precios,Servicio de mantenimiento de infraestructura,services,35429.16,2026-08-19,False,False
CN000142,P0097,E01,F018,Comparación de Precios,Adquisición de materiales de construcción,goods,87762.74,2026-09-22,False,False
CN000002,P0097,E04,F019,Contratación Directa,Adquisición de materiales de construcción,goods,4340.15,2026-08-03,False,False
CN000573,P0026,E04,F019,Concurso Público,Servicio de capacitación,services,92269.42,2026-08-06,False,False
CN000004,P0036,E17,F031,Adjudicación Simplificada,Obra de rehabilitación vial,works,108316.2,2026-07-08,False,False
CN000561,P0105,E16,F024,Adjudicación Simplificada,Suministro de combustible,goods,74551.39,2026-08-11,False,False
CN000478,P0040,E00,F041,Comparación de Precios,Consultoría en ingeniería,services,53224.52,2026-09-06,False,False
CN000025,P0116,E11,F054,Contratación Directa,Servicio de mantenimiento de infraestructura,services,28409.5,2026-07-24,False,False
CN000262,P0084,E14,F016,Adjudicación Simplificada,Consultoría en ingeniería,services,175291.68,2026-07-23,False,False
CN000202,P0097,E09,F027,Contratación Directa,Servicio de transporte,services,70514.54,2026-07-06,False,False
CN000046,P0183,E10,F026,Comparación de Precios,Adquisición de bienes de oficina,goods,16720.07,2026-07-08,False,False
CN000544,P0051,E17,F031,Comparación de Precios,Servicio de mantenimiento de infraestructura,services,47800.04,2026-09-24,False,False
CN000342,P0017,E14,F016,Contratación Directa,Servicio de capacitación,services,15268.4,2026-07-04,False,False
CN000258,P0032,E03,F000,Comparación de Precios,Obra de rehabilitación vial,works,38010.74,2026-09-24,False,False
CN000305,P0154,E09,F046,Contratación Directa,Servicio de mantenimiento de infraestructura,services,85804.95,2026-09-08,False,False
CN000266,P0077,E08,F015,Contratación Directa,Suministro de combustible,goods,13044.76,2026-07-07,False,False
CN000115,P0155,E05,F032,Contratación Directa,Servicio de transporte,services,112251.11,2026-08-30,False,False
CN000366,P0016,E03,F000,Comparación de Precios,Consultoría en ingeniería,services,74863.54,2026-09-27,False,False
CND0201,P0216,E03,F000,Contratación Directa,Servicio de mantenimiento de infraestructura,services,1003735.15,2026-07-22,True,False
CN000393,P0147,E04,F053,Comparación de Precios,Adquisición de equipos informáticos,goods,45529.23,2026-09-20,False,False
CN000585,P0020,E16,F024,Adjudicación Simplificada,Suministro de combustible,goods,79645.27,2026-08-17,False,False
CN000662,P0020,E06,F039,Contratación Directa,Servicio de limpieza y vigilancia,services,70330.18,2026-08-27,False,False
CN000448,P0170,E08,F020,Adjudicación Simplificada,Obra de rehabilitación vial,works,55898.99,2026-08-01,False,False
CN000392,P0178,E07,F013,Comparación de Precios,Consultoría en ingeniería,services,22687.03,2026-07-04,False,False
