id_proveedor,id_entidad,objeto,objeto_familia,n_contratos_grupo,max_contratos_ventana_15d,monto_total_ventana_15d,pct_montos_bajo_umbral,monto_total_grupo,label_fraccionamiento_real,score_anomalia,es_anomalia_modelo,senal_priorizacion_fraccionamiento
P0002,E03,Servicio de capacitación,services::capacitacion,9,1,591342.52,0.4444444444444444,4120310.29,False,-0.05780555794500408,False,False
P0107,E00,Servicio de capacitación,services::capacitacion,5,1,163609.44,0.6,2064154.06,False,-0.058276012475095396,False,False
P0163,E17,Servicio de transporte,services::transporte,7,1,372518.17,0.8571428571428571,2163686.41,False,-0.05880607504380697,False,False
P0044,E12,Adquisición de equipos informáticos,goods::equipo|informatico,10,2,1446247.02,0.5,4964520.89,False,-0.05922109442736401,False,False
P0054,E07,Suministro de combustible,goods::combustible|suministro,11,2,580950.0700000001,0.7272727272727273,3884544.95,False,-0.06121189388885695,False,False
P0014,E14,Servicio de capacitación,services::capacitacion,5,1,297736.05,0.6,2222666.49,False,-0.06284759867016132,False,False
P0089,E08,Servicio de limpieza y vigilancia,services::limpieza|vigilancia,11,2,646015.77,0.8181818181818182,3533260.0500000003,False,-0.06611021766956382,False,False
P0108,E06,Suministro de combustible,goods::combustible|suministro,2,1,379283.82,0.5,978712.16,False,-0.0698306282558806,False,False
P0195,E01,Contratación de servicio de transporte,services::transporte,3,3,953757.71,1.0,953757.71,True,-0.07121875150657453,False,True
P0063,E16,Adquisición de equipos informáticos,goods::equipo|informatico,2,1,518462.89,0.5,807039.76,False,-0.07317709957311369,False,False
P0143,E06,Servicio de transporte,services::transporte,10,2,1028939.84,0.4,5323279.819999999,False,-0.07352795320206251,False,False
P0051,E17,Adquisición de materiales de construcción,goods::construccion|material,5,1,252971.47,1.0,1787418.3,False,-0.07465044612069249,False,False
P0112,E08,Servicio de limpieza y vigilancia,services::limpieza|vigilancia,10,2,937742.38,0.7,3987003.06,False,-0.07488957718558154,False,False
P0022,E12,Servicio de mantenimiento de infraestructura,services::infraestructura|mantenimiento,10,2,1078817.31,0.5,5060675.960000001,False,-0.07647840342014978,False,False
P0010,E01,Consultoría en ingeniería,services::consultoria|ingenieria,8,2,711528.76,0.75,2680620.72,False,-0.0766158693596728,False,False
P0019,E00,Suministro de combustible,goods::combustible|suministro,9,2,825443.25,0.4444444444444444,4118477.060000001,False,-0.07729084378848772,False,False
P0215,E08,Servicio de mantenimiento de infraestructura,services::infraestructura|mantenimiento,6,2,639053.05,0.8333333333333334,2239929.82,False,-0.07778908891469483,False,False
P0043,E13,Mantenimiento preventivo de infraestructura,services::infraestructura|mantenimiento,5,5,506831.87,1.0,506831.87,False,-0.07917591800238866,False,True
P0107,E17,Servicio de mantenimiento de infraestructura,services::infraestructura|mantenimiento,8,1,387738.94,0.625,3244224.88,False,-0.07930845257334618,False,False
P0215,E15,Servicio de capacitación,services::capacitacion,9,2,702707.66,0.5555555555555556,3397313.55,False,-0.08049390776638121,False,False
P0018,E01,Servicio de mantenimiento de infraestructura,services::infraestructura|mantenimiento,6,2,414310.26,0.6666666666666666,2017573.97,False,-0.08094327636703658,False,False
P0034,E00,Suministro de combustible,goods::combustible|suministro,2,1,366965.21,0.5,879256.31,False,-0.08163710160740612,False,False
P0213,E04,Servicio de transporte,services::transporte,8,1,344262.49,0.625,3237186.84,False,-0.08171139152787155,False,False
P0138,E05,Adquisición de materiales de construcción,goods::construccion|material,10,2,1080329.88,0.4,4297120.12,False,-0.08282230478577757,False,False
P0185,E16,Servicio de mantenimiento de infraestructura,services::infraestructura|mantenimiento,10,2,523435.29,0.7,3406642.73,False,-0.08366352349031814,False,False
P0029,E15,Servicio de mantenimiento de infraestructura,services::infraestructura|mantenimiento,10,2,877839.4500000001,0.5,4876981.899999999,False,-0.08439795865826483,False,False
P0142,E17,Adquisición de materiales de construcción,goods::construccion|material,6,2,660278.62,0.6666666666666666,2046551.925,False,-0.0868929818675207,False,False
P0186,E00,Adquisición de bienes de oficina,goods::bienes|oficina,7,2,369098.28,0.7142857142857143,2182943.93,False,-0.08743578931669194,False,False
P0004,E01,Consultoría en ingeniería,services::consultoria|ingenieria,2,1,113639.35,0.5,825343.9,False,-0.08757381563991595,False,False
P0185,E10,Suministro de combustible,goods::combustible|suministro,4,4,899845.9400000001,1.0,899845.9400000001,True,-0.08809500586920216,False,True
P0014,E14,Adquisición de bienes de oficina,goods::bienes|oficina,2,1,124429.23,0.5,806912.77,False,-0.08837872359291166,False,False
P0134,E13,Servicio de mantenimiento de infraestructura,services::infraestructura|mantenimiento,5,5,873048.3700000001,1.0,873048.3700000001,True,-0.08852120187092505,False,True
P0212,E17,Adquisición de bienes de oficina,goods::bienes|oficina,10,2,870999.91,0.5,4186378.86,False,-0.08919474154694473,False,False
P0040,E06,Contratación de servicio de transporte,services::transporte,5,5,532783.35,1.0,532783.35,False,-0.09235430884661189,False,True
P0190,E16,Servicio de limpieza y vigilancia,services::limpieza|vigilancia,5,5,535078.76,1.0,535078.76,False,-0.09313043801693788,False,True
P0126,E15,Servicio de mantenimiento de infraestructura,services::infraestructura|mantenimiento,2,2,74651.58,1.0,74651.58,False,-0.09453707365437264,False,False
P0051,E10,Adquisición de bienes de oficina,goods::bienes|oficina,4,1,357393.04,1.0,1019786.76,False,-0.098464974123884,False,False
P0128,E17,Adquisición de equipo informático,goods::equipo|informatico,5,5,615819.7200000001,1.0,615819.7200000001,False,-0.10094414279094094,False,True
P0178,E07,Consultoría en ingeniería,services::consultoria|ingenieria,5,5,825321.63,1.0,825321.63,True,-0.10168918101357804,False,True
P0189,E16,Suministro de combustible,goods::combustible|suministro,5,5,823456.86,1.0,823456.86,True,-0.10168918101357804,False,True
P0219,E13,Mantenimiento preventivo de infraestructura,services::infraestructura|mantenimiento,4,4,857447.42,1.0,857447.42,True,-0.10211367977107122,False,True
P0169,E15,Servicio de capacitación,services::capacitacion,4,4,849346.5800000001,1.0,849346.5800000001,True,-0.10400737997501586,False,True
P0003,E00,Suministro de combustible,goods::combustible|suministro,5,5,766580.2799999999,1.0,766580.2799999999,False,-0.10430778502870286,False,True
P0148,E17,Servicio de capacitación,services::capacitacion,2,2,268384.3,1.0,268384.3,False,-0.1056800264191316,False,False
P0208,E15,Adquisición de equipo informático,goods::equipo|informatico,4,4,427199.24,1.0,427199.24,False,-0.10568270245801714,False,True
P0114,E16,Servicio de transporte,services::transporte,4,4,763281.47,1.0,763281.47,True,-0.10849693292268042,False,True
P0082,E15,Consultoría en ingeniería,services::consultoria|ingenieria,4,4,432399.85,1.0,432399.85,False,-0.10868749935508104,False,True
P0120,E02,Servicio de limpieza y vigilancia,services::limpieza|vigilancia,4,4,462350.45,1.0,462350.45,False,-0.1110171677255048,False,True
P0176,E16,Servicio de capacitación,services::capacitacion,2,2,153687.86,1.0,153687.86,False,-0.11103351121814375,False,False
P0107,E15,Servicio de transporte,services::transporte,4,4,747825.51,1.0,747825.51,False,-0.11111180758372347,False,True
P0096,E11,Servicios de transporte,services::transporte,4,4,474285.89,1.0,474285.89,True,-0.11147459303911184,False,True
P0111,E12,Servicio de limpieza y vigilancia,services::limpieza|vigilancia,5,5,698263.78,1.0,698263.78,False,-0.11152905898184251,False,True
P0134,E12,Consultoría en ingeniería,services::consultoria|ingenieria,4,4,576018.57,1.0,576018.57,False,-0.11602512439942642,False,True
P0110,E05,Adquisición de equipo informático,goods::equipo|informatico,5,5,680250.41,1.0,680250.41,True,-0.1161527909490267,False,True
P0013,E13,Servicio de transporte,services::transporte,5,5,681700.87,1.0,681700.87,True,-0.1161527909490267,False,True
P0165,E00,Adquisición de bienes de oficina,goods::bienes|oficina,2,2,220310.14,1.0,220310.14,False,-0.11670729619691445,False,False
P0025,E01,Adquisición de bienes de oficina,goods::bienes|oficina,3,2,345263.26,1.0,438082.13,False,-0.11845002062250332,False,False
P0145,E04,Servicio de capacitación,services::capacitacion,2,2,232151.22,1.0,232151.22,False,-0.11850840860539141,False,False
P0001,E11,Consultoría en ingeniería,services::consultoria|ingenieria,4,4,564326.71,1.0,564326.71,False,-0.11865014376481059,False,True
P0016,E16,Adquisición de bienes de oficina,goods::bienes|oficina,3,3,275444.08,1.0,275444.08,False,-0.11977476531650244,False,True
P0058,E08,Adquisición de equipos informáticos,goods::equipo|informatico,3,1,423847.13,1.0,517299.1,False,-0.12368861269173165,False,False
P0054,E00,Servicio de capacitación,services::capacitacion,3,3,671107.45,1.0,671107.45,True,-0.12556158387962796,False,True
P0170,E04,Consultoría en ingeniería,services::consultoria|ingenieria,3,3,669572.11,1.0,669572.11,True,-0.12589001930187566,False,True
P0175,E15,Consultoría en ingeniería,services::consultoria|ingenieria,3,3,313468.67,1.0,313468.67,False,-0.13069547127483166,False,True
P0167,E09,Servicios de transporte,services::transporte,3,3,609075.56,1.0,609075.56,True,-0.13470811177214598,False,True
P0001,E17,Adquisición de material de construcción,goods::construccion|material,3,3,346054.74,1.0,346054.74,False,-0.13848949216603912,False,True
P0023,E00,Consultoría en ingeniería,services::consultoria|ingenieria,3,3,347140.93,1.0,347140.93,False,-0.1388750537873773,False,True
P0012,E15,Servicio de capacitación,services::capacitacion,3,1,31438.6,1.0,123526.19,False,-0.14060335031142568,False,False
P0003,E13,Suministro de combustible,goods::combustible|suministro,3,3,551352.03,1.0,551352.03,False,-0.14108586098269799,False,True
P0056,E04,Adquisición de materiales de construcción,goods::construccion|material,3,3,500752.99,1.0,500752.99,False,-0.14124705182143898,False,True
P0090,E13,Suministro de combustible,goods::combustible|suministro,3,3,429677.55,1.0,429677.55,False,-0.14279332375374876,False,True
P0076,E15,Servicio de capacitación,services::capacitacion,3,3,424726.18000000005,1.0,424726.18000000005,False,-0.14279332375374876,False,True
P0055,E17,Suministro de combustible,goods::combustible|suministro,3,3,528631.72,1.0,528631.72,False,-0.14466475856245015,False,True
P0094,E00,Obra de rehabilitación vial,works::rehabilitacion|via,2,1,361385.25,1.0,426156.54,False,-0.15920638891185124,False,False
P0196,E06,Adquisición de materiales de construcción,goods::construccion|material,2,1,308642.52,1.0,440961.51,False,-0.17762986427537442,False,False
P0014,E01,Servicio de transporte,services::transporte,2,1,337289.75,1.0,351841.52,False,-0.17821798149807971,False,False
P0212,E15,Servicio de capacitación,services::capacitacion,2,1,164305.87,1.0,583241.46,False,-0.1898117148707128,False,False
P0164,E01,Consultoría en ingeniería,services::consultoria|ingenieria,2,1,236393.99,1.0,467596.05,False,-0.1917231083312148,False,False
P0152,E02,Adquisición de equipos informáticos,goods::equipo|informatico,2,1,300571.51,1.0,326822.14,False,-0.19273000529691642,False,False
P0213,E05,Servicio de mantenimiento de infraestructura,services::infraestructura|mantenimiento,2,1,244759.34,1.0,398434.09,False,-0.19671613460577797,False,False
P0051,E17,Consultoría en ingeniería,services::consultoria|ingenieria,2,1,19014.19,1.0,386720.65,False,-0.20514567943088124,False,False
P0165,E13,Servicio de transporte,services::transporte,2,1,190024.03,1.0,419185.53,False,-0.20776045776178498,False,False
P0142,E17,Servicio de mantenimiento de infraestructura,services::infraestructura|mantenimiento,2,1,149817.16,1.0,419661.72,False,-0.21073272291416906,False,False
P0141,E09,Servicio de transporte,services::transporte,2,1,26693.56,1.0,374051.45,False,-0.21274661326528177,False,False
P0145,E08,Servicio de capacitación,services::capacitacion,2,1,235014.27,1.0,264867.77,False,-0.2133320315730144,False,False
P0055,E02,Servicio de transporte,services::transporte,2,1,13585.78,1.0,26441.370000000003,False,-0.2165440102254102,False,False
P0005,E17,Servicio de limpieza y vigilancia,services::limpieza|vigilancia,2,1,13611.5,1.0,21951.120000000003,False,-0.2165440102254102,False,False
P0019,E13,Obra de rehabilitación vial,works::rehabilitacion|via,2,1,3998.45,1.0,61600.4,False,-0.21663047482345982,False,False
P0180,E09,Adquisición de equipos informáticos,goods::equipo|informatico,2,1,217171.85,1.0,256823.72,False,-0.219828317956555,False,False
P0135,E09,Servicio de limpieza y vigilancia,services::limpieza|vigilancia,2,1,10624.62,1.0,37128.08,False,-0.22151054177411555,False,False
P0101,E00,Servicio de limpieza y vigilancia,services::limpieza|vigilancia,2,1,5680.7,1.0,54947.0,False,-0.22171924148793914,False,False
P0125,E08,Servicio de mantenimiento de infraestructura,services::infraestructura|mantenimiento,2,1,208783.3,1.0,280779.36,False,-0.22282794273629597,False,False
P0205,E15,Adquisición de equipos informáticos,goods::equipo|informatico,2,1,114068.95,1.0,395932.75,False,-0.22288932489556212,False,False
P0194,E15,Adquisición de equipos informáticos,goods::equipo|informatico,2,1,161935.86,1.0,356891.62,False,-0.22445327105360535,False,False
P0042,E03,Adquisición de equipos informáticos,goods::equipo|informatico,2,1,64222.77,1.0,362092.0500000001,False,-0.22487277533720307,False,False
P0050,E17,Obra de rehabilitación vial,works::rehabilitacion|via,2,1,7984.72,1.0,56556.96,False,-0.22557416575305161,False,False
P0174,E12,Consultoría en ingeniería,services::consultoria|ingenieria,2,1,16854.87,1.0,289526.93,False,-0.22648429846543394,False,False
P0200,E08,Consultoría en ingeniería,services::consultoria|ingenieria,2,1,23097.12,1.0,29836.03,False,-0.22712287010601528,False,False
P0086,E10,Servicio de mantenimiento de infraestructura,services::infraestructura|mantenimiento,2,1,8194.58,1.0,68813.43,False,-0.22937427208995947,False,False
P0080,E13,Servicio de mantenimiento de infraestructura,services::infraestructura|mantenimiento,2,1,14763.27,1.0,258875.13,False,-0.22989579761463447,False,False
P0049,E10,Adquisición de bienes de oficina,goods::bienes|oficina,2,1,6842.8,1.0,173285.63999999998,False,-0.23061292310461257,False,False
P0060,E09,Adquisición de materiales de construcción,goods::construccion|material,2,1,179938.55,1.0,208701.8,False,-0.23162233686834943,False,False
P0123,E15,Servicio de mantenimiento de infraestructura,services::infraestructura|mantenimiento,2,1,20772.03,1.0,274122.84,False,-0.2317768412689145,False,False
P0082,E04,Servicio de capacitación,services::capacitacion,2,1,18452.01,1.0,44564.83,False,-0.2320940281900818,False,False
P0196,E13,Consultoría en ingeniería,services::consultoria|ingenieria,2,1,29928.37,1.0,43873.17,False,-0.23211052980707625,False,False
P0053,E03,Adquisición de materiales de construcción,goods::construccion|material,2,1,11638.88,1.0,61527.29,False,-0.2321893380529751,False,False
P0085,E14,Suministro de combustible,goods::combustible|suministro,2,1,7748.63,1.0,101435.66,False,-0.23224940603140304,False,False
P0145,E06,Consultoría en ingeniería,services::consultoria|ingenieria,2,1,20948.62,1.0,38588.33,False,-0.2324558016071092,False,False
P0104,E11,Obra de rehabilitación vial,works::rehabilitacion|via,2,1,166189.31,1.0,177497.04,False,-0.2332692175255855,False,False
P0118,E12,Servicio de limpieza y vigilancia,services::limpieza|vigilancia,2,1,154748.7,1.0,179314.88,False,-0.23357874116765182,False,False
P0043,E12,Consultoría en ingeniería,services::consultoria|ingenieria,2,1,23617.31,1.0,279273.13,False,-0.23411553979296845,False,False
P0179,E03,Obra de rehabilitación vial,works::rehabilitacion|via,2,1,20429.51,1.0,51863.12,False,-0.2343179141825445,False,False
P0034,E08,Suministro de combustible,goods::combustible|suministro,2,1,11890.18,1.0,91482.75,False,-0.2344822370433175,False,False
P0138,E05,Adquisición de bienes de oficina,goods::bienes|oficina,2,1,110158.22,1.0,113676.6,False,-0.23471484175796475,False,False
P0139,E10,Consultoría en ingeniería,services::consultoria|ingenieria,2,1,12709.12,1.0,146867.97,False,-0.2347592077164698,False,False
P0211,E06,Servicio de capacitación,services::capacitacion,2,1,153321.06,1.0,264204.56,False,-0.23541055836682878,False,False
P0077,E03,Servicio de limpieza y vigilancia,services::limpieza|vigilancia,2,1,24956.52,1.0,45384.31,False,-0.23601590046390003,False,False
P0092,E17,Adquisición de materiales de construcción,goods::construccion|material,2,1,173751.22,1.0,203817.82,False,-0.2362441523677994,False,False
P0064,E09,Adquisición de equipos informáticos,goods::equipo|informatico,2,1,22344.69,1.0,47282.99,False,-0.2367307896491862,False,False
P0082,E05,Servicio de mantenimiento de infraestructura,services::infraestructura|mantenimiento,2,1,86166.87,1.0,261417.0,False,-0.23675777020023714,False,False
P0062,E03,Obra de rehabilitación vial,works::rehabilitacion|via,2,1,146356.21,1.0,179441.47999999998,False,-0.2369935841252893,False,False
P0059,E02,Servicio de transporte,services::transporte,2,1,142253.07,1.0,163600.16,False,-0.23705758318825032,False,False
P0113,E11,Servicio de capacitación,services::capacitacion,2,1,17800.19,1.0,56211.16,False,-0.23725428888273842,False,False
P0156,E06,Adquisición de bienes de oficina,goods::bienes|oficina,2,1,160867.73,1.0,231881.53000000003,False,-0.23734580604556516,False,False
P0031,E15,Servicio de mantenimiento de infraestructura,services::infraestructura|mantenimiento,2,1,139567.56,1.0,170305.38,False,-0.2375668216304137,False,False
P0041,E03,Suministro de combustible,goods::combustible|suministro,2,1,102797.03,1.0,133289.75,False,-0.2381129527329529,False,False
P0019,E06,Adquisición de materiales de construcción,goods::construccion|material,2,1,137179.16,1.0,172141.2,False,-0.2382428600607417,False,False
P0219,E16,Suministro de combustible,goods::combustible|suministro,2,1,163277.4,1.0,206091.49,False,-0.23830790699951798,False,False
P0111,E13,Adquisición de equipos informáticos,goods::equipo|informatico,2,1,18769.91,1.0,64689.02,False,-0.23849528282765503,False,False
P0112,E02,Adquisición de equipos informáticos,goods::equipo|informatico,2,1,88840.63,1.0,264466.67000000004,False,-0.23863176790150975,False,False
P0014,E12,Suministro de combustible,goods::combustible|suministro,2,1,104988.78,1.0,166701.58000000002,False,-0.238659442606511,False,False
P0031,E00,Servicio de mantenimiento de infraestructura,services::infraestructura|mantenimiento,2,1,98694.86,1.0,154361.87,False,-0.23929925513516992,False,False
P0073,E13,Obra de rehabilitación vial,works::rehabilitacion|via,2,1,25295.93,1.0,51048.94,False,-0.23959931000719736,False,False
P0039,E02,Servicio de transporte,services::transporte,2,1,26145.7,1.0,51585.94,False,-0.23964788249458813,False,False
P0091,E10,Adquisición de equipos informáticos,goods::equipo|informatico,2,1,83315.13,1.0,99354.23,False,-0.23990138086031887,False,False
P0153,E12,Adquisición de bienes de oficina,goods::bienes|oficina,2,1,37924.06,1.0,59140.61,False,-0.23996736654122192,False,False
P0067,E15,Servicio de mantenimiento de infraestructura,services::infraestructura|mantenimiento,2,1,107535.77,1.0,252875.08,False,-0.24058483032571787,False,False
P0118,E03,Servicio de limpieza y vigilancia,services::limpieza|vigilancia,2,1,135812.44,1.0,185506.17,False,-0.2407478458092609,False,False
P0155,E05,Obra de rehabilitación vial,works::rehabilitacion|via,2,1,85043.06,1.0,105091.31,False,-0.2412132965254402,False,False
P0076,E13,Adquisición de equipos informáticos,goods::equipo|informatico,2,1,34289.06,1.0,259813.76,False,-0.24148450898424206,False,False
P0088,E16,Servicio de transporte,services::transporte,2,1,34562.09,1.0,73978.01999999999,False,-0.241730109841919,False,False
P0078,E02,Servicio de limpieza y vigilancia,services::limpieza|vigilancia,2,1,77087.93,1.0,262526.3,False,-0.24199427476597957,False,False
P0141,E05,Servicio de capacitación,services::capacitacion,2,1,38936.29,1.0,73668.73000000001,False,-0.24245327523510607,False,False
P0182,E05,Consultoría en ingeniería,services::consultoria|ingenieria,2,1,26191.52,1.0,215645.88,False,-0.24263635345270929,False,False
P0127,E11,Obra de rehabilitación vial,works::rehabilitacion|via,2,1,79966.3,1.0,88507.82,False,-0.2427240887089005,False,False
P0051,E10,Servicio de mantenimiento de infraestructura,services::infraestructura|mantenimiento,2,1,77550.23,1.0,255013.13,False,-0.24275606296886842,False,False
P0092,E01,Consultoría en ingeniería,services::consultoria|ingenieria,2,1,29692.68,1.0,225151.58,False,-0.2428109528481341,False,False
P0044,E13,Adquisición de bienes de oficina,goods::bienes|oficina,2,1,24258.38,1.0,208154.81,False,-0.24301979709134686,False,False
P0219,E00,Adquisición de equipos informáticos,goods::equipo|informatico,2,1,86599.83,1.0,172141.28,False,-0.24330011606671764,False,False
P0058,E09,Adquisición de bienes de oficina,goods::bienes|oficina,2,1,22485.41,1.0,200591.38,False,-0.2433742999846955,False,False
P0179,E12,Consultoría en ingeniería,services::consultoria|ingenieria,2,1,32946.98,1.0,70029.35,False,-0.24352403121431487,False,False
P0211,E17,Adquisición de equipos informáticos,goods::equipo|informatico,2,1,20475.82,1.0,186359.04,False,-0.2436161720943686,False,False
P0211,E16,Servicio de mantenimiento de infraestructura,services::infraestructura|mantenimiento,2,1,28537.7,1.0,74315.23,False,-0.2436212427760463,False,False
