id_contrato,monto,modalidad,fecha_contrato,categoria_principal,objeto,n_pagos,monto_devengado_total,monto_pagado_total,fecha_primer_devengado,fecha_ultimo_pago,ratio_pagado_contrato,estado_pago_analitico
C002387,54250.36,Adjudicación Simplificada,2023-05-17,goods,Adquisición de materiales de construcción,2,54250.36,54250.36,2023-06-04,2023-07-04,1.0,pagado_aproximadamente_completo
C002011,42814.09,Adjudicación Simplificada,2024-09-14,goods,Suministro de combustible,2,42814.090000000004,42814.09,2024-10-19,2024-11-20,1.0,pagado_aproximadamente_completo
C000351,35297.73,Comparación de Precios,2026-02-26,services,Consultoría en ingeniería,3,35297.729999999996,35297.73,2026-03-25,2026-05-17,1.0,pagado_aproximadamente_completo
C001688,117034.2,Adjudicación Simplificada,2024-07-16,services,Consultoría en ingeniería,2,117034.2,117034.20000000001,2024-08-13,2024-09-14,1.0000000000000002,pagado_aproximadamente_completo
C003029,10182.42,Contratación Directa,2023-10-30,works,Obra de rehabilitación vial,1,10182.42,10182.42,2023-12-05,2023-12-28,1.0,pagado_aproximadamente_completo
C002476,113842.92,Adjudicación Simplificada,2024-02-24,services,Consultoría en ingeniería,1,113842.92,113842.92,2024-03-10,2024-03-20,1.0,pagado_aproximadamente_completo
C002083,70243.03,Contratación Directa,2023-09-28,goods,Adquisición de materiales de construcción,1,70243.03,70243.03,2023-10-21,2023-11-07,1.0,pagado_aproximadamente_completo
C000505,31438.6,Adjudicación Simplificada,2023-03-04,services,Servicio de capacitación,1,31438.6,31438.6,2023-03-18,2023-03-31,1.0,pagado_aproximadamente_completo
C000166,20409.48,Adjudicación Simplificada,2025-02-27,services,Servicio de transporte,3,20409.480000000003,20409.48,2025-04-05,2025-05-20,1.0,pagado_aproximadamente_completo
C001902,30663.15,Licitación Pública,2023-01-15,services,Servicio de capacitación,2,30663.15,30663.15,2023-01-24,2023-03-29,1.0,pagado_aproximadamente_completo
C001602,64459.8,Comparación de Precios,2024-05-05,services,Servicio de mantenimiento de infraestructura,1,67943.9,67943.9,2024-05-22,2024-06-14,1.0540507417025804,sobrepago_senal_revisar
C003244,79843.28,Adjudicación Simplificada,2023-10-15,services,Servicio de limpieza y vigilancia,2,79843.28,79843.28,2023-11-07,2023-12-04,1.0,pagado_aproximadamente_completo
C001675,45681.05,Adjudicación Simplificada,2025-05-04,services,Servicio de limpieza y vigilancia,1,45681.05,45681.05,2025-05-29,2025-06-14,1.0,pagado_aproximadamente_completo
C001966,36117.22,Comparación de Precios,2023-02-10,goods,Adquisición de materiales de construcción,3,36117.22,36117.22,2023-02-18,2023-04-27,1.0,pagado_aproximadamente_completo
C003416,12855.59,Concurso Público,2025-06-02,services,Servicio de transporte,1,10009.05,10009.05,2025-06-23,2025-07-10,0.7785757013097026,pago_parcial
C001556,253786.95,Adjudicación Simplificada,2025-02-05,services,Servicio de limpieza y vigilancia,1,253786.95,253786.95,2025-03-09,2025-03-19,1.0,pagado_aproximadamente_completo
C001407,35158.52,Comparación de Precios,2026-06-18,services,Consultoría en ingeniería,2,27834.329999999998,27834.33,2026-06-24,2026-08-07,0.7916809353749817,pago_parcial
C000109,58831.76,Comparación de Precios,2024-06-20,services,Servicio de transporte,1,58831.76,58831.76,2024-07-17,2024-08-01,1.0,pagado_aproximadamente_completo
C000463,,Contratación Directa,2025-10-18,goods,Adquisición de bienes de oficina,3,75705.64,75705.64,2025-11-20,2025-12-28,,sin_pago_o_sin_cuantia
C700200,252503.46,Licitación Pública,2025-02-15,works,Obra de rehabilitación vial,3,252503.46,252503.46,2025-03-01,2025-05-28,1.0,pagado_aproximadamente_completo
C900016,297572.46,Comparación de Precios,2025-01-04,goods,Suministro de combustible,3,297572.46,297572.45999999996,2025-02-05,2025-04-20,0.9999999999999998,pagado_aproximadamente_completo
C001213,22344.69,Licitación Pública,2025-09-27,goods,Adquisición de equipos informáticos,2,22344.690000000002,22344.690000000002,2025-10-12,2026-01-05,1.0000000000000002,pagado_aproximadamente_completo
C700094,303897.87,Concurso Público,2024-12-21,goods,Adquisición de bienes de oficina,2,303897.87,303897.87,2025-01-28,2025-02-21,1.0,pagado_aproximadamente_completo
C002252,18658.24,Adjudicación Simplificada,2026-03-07,services,Servicio de mantenimiento de infraestructura,2,18658.24,18658.239999999998,2026-04-19,2026-05-23,0.9999999999999998,pagado_aproximadamente_completo
C003399,90474.77,Comparación de Precios,2024-03-26,works,Obra de rehabilitación vial,3,90474.77,90474.77,2024-04-21,2024-07-03,1.0,pagado_aproximadamente_completo
C001534,24938.3,Concurso Público,2026-06-04,goods,Adquisición de equipos informáticos,3,24938.300000000003,24938.300000000003,2026-06-22,2026-08-07,1.0000000000000002,pagado_aproximadamente_completo
C700037,669073.17,Licitación Pública,2024-06-30,goods,Adquisición de materiales de construcción,1,411296.81,411296.81,2024-07-13,2024-07-18,0.6147262040114386,pago_parcial
C002649,69146.82,Adjudicación Simplificada,2025-04-30,services,Consultoría en ingeniería,1,69146.82,69146.82,2025-05-11,2025-06-08,1.0,pagado_aproximadamente_completo
C001509,350959.23,Adjudicación Simplificada,2023-03-28,services,Servicio de transporte,3,350959.23,350959.23,2023-04-19,2023-07-10,1.0,pagado_aproximadamente_completo
C001618,148220.77,Concurso Público,2026-06-29,services,Servicio de mantenimiento de infraestructura,2,148220.77000000002,148220.77000000002,2026-07-22,2026-08-07,1.0000000000000002,pagado_aproximadamente_completo
C002344,10745.02,Comparación de Precios,2023-10-04,goods,Adquisición de equipos informáticos,2,6552.63,6552.63,2023-10-25,2023-12-02,0.6098294837980758,pago_parcial
C001515,36265.07,Adjudicación Simplificada,2024-12-21,works,Obra de rehabilitación vial,1,17690.19,0.0,2025-01-03,,0.0,pendiente_sin_pago
C002069,73748.64,Comparación de Precios,2023-12-23,services,Servicio de capacitación,1,73748.64,73748.64,2023-12-28,2024-01-05,1.0,pagado_aproximadamente_completo
C000211,19983.5,Contratación Directa,2023-03-07,goods,Adquisición de equipos informáticos,2,19983.5,19983.5,2023-03-12,2023-08-13,1.0,pagado_aproximadamente_completo
C001945,43195.77,Concurso Público,2024-09-29,services,Servicio de mantenimiento de infraestructura,2,43195.770000000004,43195.770000000004,2024-11-08,2024-12-17,1.0000000000000002,pagado_aproximadamente_completo
C002530,95395.33,Licitación Pública,2024-05-25,services,Servicio de mantenimiento de infraestructura,3,95395.32999999999,95395.32999999999,2024-07-01,2024-08-12,0.9999999999999999,pagado_aproximadamente_completo
C002138,154652.74,Comparación de Precios,2025-02-28,goods,Adquisición de materiales de construcción,3,154652.74,154652.74,2025-03-12,2025-06-05,1.0,pagado_aproximadamente_completo
C002801,29616.72,Comparación de Precios,2024-11-15,goods,Suministro de combustible,1,29616.72,29616.72,2024-12-11,2024-12-23,1.0,pagado_aproximadamente_completo
C003022,6783.93,Contratación Directa,2024-12-05,services,Servicio de limpieza y vigilancia,1,2421.01,0.0,2025-01-05,,0.0,pendiente_sin_pago
C001837,215278.54,Comparación de Precios,2024-01-16,services,Servicio de capacitación,2,215278.53999999998,215278.54,2024-01-22,2024-03-23,1.0,pagado_aproximadamente_completo
C700071,739836.08,Concurso Público,2024-03-08,goods,Suministro de combustible,1,505914.32,505914.32,2024-04-10,2024-05-01,0.6838194752545727,pago_parcial
C002483,61486.17,Contratación Directa,2023-04-28,services,Servicio de limpieza y vigilancia,1,61486.17,61486.17,2023-05-29,2023-06-07,1.0,pagado_aproximadamente_completo
C003137,18997.42,Comparación de Precios,2023-05-23,services,Servicio de mantenimiento de infraestructura,1,18997.42,18997.42,2023-06-20,2023-09-25,1.0,pagado_aproximadamente_completo
C800087,171906.84,Licitación Pública Abreviada,2026-04-17,goods,Suministro de combustible,3,171906.84000000003,171906.84,2026-05-10,2026-07-12,1.0,pagado_aproximadamente_completo
C001173,231189.02,Adjudicación Simplificada,2023-12-06,goods,Adquisición de equipos informáticos,2,231189.02,231189.02000000002,2024-01-02,2024-01-29,1.0000000000000002,pagado_aproximadamente_completo
C700202,773661.27,Adjudicación Simplificada,2024-02-13,works,Obra de rehabilitación vial,1,773661.27,773661.27,2024-03-26,2024-04-10,1.0,pagado_aproximadamente_completo
C001051,42595.07,Concurso Público,2026-06-29,services,Servicio de transporte,2,25099.280000000002,25099.28,2026-08-07,2026-08-07,0.5892531694395619,pago_parcial
C001393,19645.63,Comparación de Precios,2023-05-31,goods,Adquisición de equipos informáticos,1,16686.28,16686.28,2023-07-04,2023-08-03,0.8493634462218823,pago_parcial
C000494,126684.75,Licitación Pública,2025-02-19,services,Consultoría en ingeniería,1,64013.27,0.0,2025-03-09,,0.0,pendiente_sin_pago
C002991,103765.88,Comparación de Precios,2026-01-07,goods,Adquisición de materiales de construcción,2,103765.87999999999,103765.88,2026-01-28,2026-04-25,1.0,pagado_aproximadamente_completo
C002130,18608.21,Adjudicación Simplificada,2024-07-09,works,Obra de rehabilitación vial,1,18608.21,18608.21,2024-08-13,2024-09-06,1.0,pagado_aproximadamente_completo
C800100,149562.03,Adjudicación Simplificada,2024-02-11,services,Consultoría en ingeniería,3,149562.03,149562.03,2024-02-18,2024-04-28,1.0,pagado_aproximadamente_completo
C900118,282580.2,Contratación Directa,2026-05-22,services,Servicio de transporte,2,282580.2,282580.2,2026-06-10,2026-08-07,1.0,pagado_aproximadamente_completo
C000912,173081.66,Adjudicación Simplificada,2024-12-09,works,Obra de rehabilitación vial,1,173081.66,173081.66,2025-01-09,2025-01-22,1.0,pagado_aproximadamente_completo
C002442,264595.24,Adjudicación Simplificada,2024-11-30,works,Obra de rehabilitación vial,1,208814.42,208814.42,2024-12-31,2025-01-02,0.7891843405799742,pago_parcial
C002884,79078.0,Concurso Público,2025-06-18,services,Servicio de mantenimiento de infraestructura,2,63671.700000000004,63671.7,2025-07-19,2025-08-17,0.8051759022737044,pago_parcial
C002408,58245.53,Concurso Público,2026-06-14,services,Servicio de transporte,3,58245.53,58245.53,2026-07-05,2026-08-07,1.0,pagado_aproximadamente_completo
C002135,303311.05,Licitación Pública,2023-08-13,goods,Adquisición de materiales de construcción,3,303311.05,303311.05,2023-08-19,2023-11-24,1.0,pagado_aproximadamente_completo
C001876,50605.12,Contratación Directa,2023-11-28,works,Obra de rehabilitación vial,3,50605.12,50605.12,2023-12-29,2024-03-06,1.0,pagado_aproximadamente_completo
C700234,402711.44,Licitación Pública,2025-06-05,services,Servicio de mantenimiento de infraestructura,2,402711.43999999994,402711.44,2025-06-18,2025-08-10,1.0,pagado_aproximadamente_completo
C002812,57449.32,Comparación de Precios,2024-03-09,goods,Adquisición de materiales de construcción,3,57449.32,57449.32,2024-04-10,2024-06-19,1.0,pagado_aproximadamente_completo
C000810,54134.24,Adjudicación Simplificada,2025-10-15,works,Obra de rehabilitación vial,2,54134.240000000005,54134.24,2025-10-26,2025-11-19,1.0,pagado_aproximadamente_completo
C700033,168492.72,Adjudicación Simplificada,2024-07-08,goods,Adquisición de materiales de construcción,2,168492.72,168492.72,2024-07-14,2024-09-04,1.0,pagado_aproximadamente_completo
C001582,57403.08,Adjudicación Simplificada,2023-03-11,goods,Adquisición de materiales de construcción,2,43096.63,43096.63,2023-04-25,2023-05-10,0.7507720840066421,pago_parcial
C001833,347338.36,Comparación de Precios,2024-12-22,services,Servicio de limpieza y vigilancia,1,347338.36,347338.36,2025-01-25,2025-02-21,1.0,pagado_aproximadamente_completo
C001784,52507.65,Concurso Público,2025-12-01,works,Obra de rehabilitación vial,1,36500.75,0.0,2025-12-25,,0.0,pendiente_sin_pago
C000829,26062.14,Contratación Directa,2026-03-25,goods,Adquisición de materiales de construcción,2,26062.14,26062.14,2026-04-25,2026-05-21,1.0,pagado_aproximadamente_completo
C000907,53305.82,Comparación de Precios,2024-10-11,services,Servicio de mantenimiento de infraestructura,3,53305.82,53305.82,2024-10-25,2024-12-25,1.0,pagado_aproximadamente_completo
C000150,42790.05,Comparación de Precios,2023-09-18,services,Servicio de capacitación,1,42790.05,42790.05,2023-10-15,2023-11-02,1.0,pagado_aproximadamente_completo
C000650,50493.02,Licitación Pública,2023-03-02,services,Servicio de mantenimiento de infraestructura,2,50493.020000000004,50493.020000000004,2023-03-12,2023-05-08,1.0000000000000002,pagado_aproximadamente_completo
C000120,104668.03,Concurso Público,2025-06-09,goods,Adquisición de materiales de construcción,1,104668.03,104668.03,2025-07-02,2025-09-03,1.0,pagado_aproximadamente_completo
C900295,284867.74,Contratación Directa,2026-04-15,goods,,3,284867.74,284867.74,2026-05-03,2026-07-25,1.0,pagado_aproximadamente_completo
C002741,6192.75,Adjudicación Simplificada,2025-07-01,services,Servicio de mantenimiento de infraestructura,3,6192.75,6192.75,2025-08-11,2025-09-12,1.0,pagado_aproximadamente_completo
C002985,444836.69,Comparación de Precios,2023-06-08,services,Consultoría en ingeniería,1,444836.69,444836.69,2023-06-21,2023-07-03,1.0,pagado_aproximadamente_completo
C900221,416656.08,Adjudicación Simplificada,2025-03-20,works,Obra de rehabilitación vial,1,416656.08,416656.08,2025-04-07,2025-04-26,1.0,pagado_aproximadamente_completo
C000468,23778.1,Comparación de Precios,2024-03-08,goods,Adquisición de bienes de oficina,1,12490.9,0.0,2024-04-14,,0.0,pendiente_sin_pago
C001025,32176.39,Licitación Pública,2024-07-23,works,Obra de rehabilitación vial,1,32176.39,32176.39,2024-08-12,2024-08-26,1.0,pagado_aproximadamente_completo
C000879,22817.01,Adjudicación Simplificada,2026-01-08,services,Servicio de transporte,2,22817.010000000002,22817.010000000002,2026-01-17,2026-05-13,1.0000000000000002,pagado_aproximadamente_completo
C000096,214153.26,Comparación de Precios,2023-10-11,goods,Suministro de combustible,2,214153.26,214153.26,2023-11-06,2023-11-17,1.0,pagado_aproximadamente_completo
C800013,214757.73,Licitación Pública Abreviada,2025-10-24,goods,Suministro de combustible,1,127458.24,0.0,2025-11-09,,0.0,pendiente_sin_pago
C900284,415976.36,Contratación Directa,2025-12-15,goods,Suministro de combustible,1,236890.01,0.0,2026-01-25,,0.0,pendiente_sin_pago
C001829,39673.88,Licitación Pública,2024-03-02,services,Servicio de limpieza y vigilancia,2,39673.880000000005,39673.880000000005,2024-03-07,2024-04-07,1.0000000000000002,pagado_aproximadamente_completo
C900197,593566.72,Adjudicación Simplificada,2025-08-01,services,Servicio de mantenimiento de infraestructura,2,593566.72,593566.72,2025-08-07,2025-09-19,1.0,pagado_aproximadamente_completo
C000149,28200.87,Comparación de Precios,2026-01-03,services,Servicio de capacitación,1,21949.56,0.0,2026-01-27,,0.0,pendiente_sin_pago
C002683,181190.39,Adjudicación Simplificada,2024-01-04,goods,Adquisición de materiales de construcción,2,181190.38999999998,181190.39,2024-02-10,2024-03-01,1.0,pagado_aproximadamente_completo
C700218,373039.54,Licitación Pública,2025-09-03,services,Consultoría en ingeniería,2,373039.54,373039.54,2025-09-08,2025-11-18,1.0,pagado_aproximadamente_completo
C900166,213267.6,Comparación de Precios,2025-11-04,works,Obra de rehabilitación vial,3,213267.6,213267.6,2025-11-13,2026-01-20,1.0,pagado_aproximadamente_completo
C002177,106840.67,Concurso Público,2026-02-11,services,,1,106840.67,106840.67,2026-03-05,2026-05-12,1.0,pagado_aproximadamente_completo
C000999,161935.86,Licitación Pública,2024-07-29,goods,Adquisición de equipos informáticos,3,161935.86,161935.86,2024-08-26,2024-10-23,1.0,pagado_aproximadamente_completo
C001864,117562.11,Comparación de Precios,2023-06-23,goods,,1,50979.97,0.0,2023-07-03,,0.0,pendiente_sin_pago
C001436,303132.15,Licitación Pública,2024-10-12,goods,Adquisición de equipos informáticos,2,303132.15,303132.15,2024-11-24,2024-12-15,1.0,pagado_aproximadamente_completo
C000157,57148.75,Adjudicación Simplificada,2023-06-13,goods,Adquisición de equipos informáticos,2,57148.75,57148.75,2023-07-28,2023-11-21,1.0,pagado_aproximadamente_completo
C002183,54619.81,Concurso Público,2025-11-10,services,Servicio de mantenimiento de infraestructura,2,54619.81,54619.81,2025-11-22,2026-01-17,1.0,pagado_aproximadamente_completo
C700069,867035.76,Adjudicación Simplificada,2026-03-19,goods,Suministro de combustible,2,867035.76,867035.76,2026-04-13,2026-05-30,1.0,pagado_aproximadamente_completo
C000594,65806.24,Licitación Pública,2025-07-06,services,Servicio de capacitación,3,65806.24,65806.24,2025-08-02,2025-10-07,1.0,pagado_aproximadamente_completo
C000297,105167.87,Adjudicación Simplificada,2023-08-30,services,Servicio de mantenimiento de infraestructura,2,105167.87000000001,105167.87,2023-09-27,2024-01-11,1.0,pagado_aproximadamente_completo
C000017,45872.11,Licitación Pública,2023-05-28,services,Servicio de capacitación,2,45872.11,45872.11,2023-06-12,2023-08-08,1.0,pagado_aproximadamente_completo
C000831,39188.95,Adjudicación Simplificada,2024-11-07,goods,Adquisición de materiales de construcción,1,39188.95,39188.95,2024-12-17,2025-01-02,1.0,pagado_aproximadamente_completo
C001936,28590.09,Comparación de Precios,2025-02-03,services,Servicio de limpieza y vigilancia,2,28590.09,28590.090000000004,2025-03-11,2025-04-05,1.0000000000000002,pagado_aproximadamente_completo
C750054,49235.03,Concurso Público,2025-11-23,services,Servicio de limpieza y vigilancia,1,42025.61,42025.61,2025-12-29,2026-01-14,0.8535713291938687,pago_parcial
C000555,59422.77,Adjudicación Simplificada,2024-08-25,services,Consultoría en ingeniería,1,59422.77,59422.77,2024-09-23,2024-10-03,1.0,pagado_aproximadamente_completo
C700031,660812.44,Licitación Pública,2024-01-31,goods,Adquisición de bienes de oficina,1,660812.44,660812.44,2024-02-19,2024-03-13,1.0,pagado_aproximadamente_completo
C002323,18297.66,Adjudicación Simplificada,2024-08-13,goods,Adquisición de materiales de construcción,3,18297.66,18297.66,2024-08-23,2024-10-20,1.0,pagado_aproximadamente_completo
C001507,281140.95,Concurso Público,2026-05-28,services,Servicio de mantenimiento de infraestructura,3,281140.94999999995,281140.95,2026-06-02,2026-08-07,1.0,pagado_aproximadamente_completo
C003497,122783.22,Licitación Pública,2024-06-18,goods,Adquisición de equipos informáticos,2,122783.22,122783.22,2024-07-21,2024-08-26,1.0,pagado_aproximadamente_completo
C700162,621546.09,Licitación Pública,2024-11-08,services,Servicio de mantenimiento de infraestructura,1,439588.63,0.0,2024-12-09,,0.0,pendiente_sin_pago
C003238,17197.0,Contratación Directa,2025-04-28,services,Servicio de limpieza y vigilancia,2,17197.0,17197.0,2025-05-12,2025-08-28,1.0,pagado_aproximadamente_completo
C002211,64461.66,Adjudicación Simplificada,2024-07-06,services,Consultoría en ingeniería,2,64461.659999999996,64461.66,2024-08-06,2024-08-22,1.0,pagado_aproximadamente_completo
C000309,446303.9,,2024-12-05,goods,,2,369929.58999999997,369929.59,2024-12-20,2025-02-19,0.8288737562006516,pago_parcial
C002852,109107.57,Adjudicación Simplificada,2025-01-31,goods,Suministro de combustible,2,109107.56999999999,109107.57,2025-03-03,2025-04-03,1.0,pagado_aproximadamente_completo
C900135,81141.56,Contratación Directa,2025-08-17,goods,Suministro de combustible,3,81141.56,81141.56,2025-09-27,2025-10-27,1.0,pagado_aproximadamente_completo
C000461,65565.18,Comparación de Precios,2024-01-05,services,Servicio de limpieza y vigilancia,2,65565.18,65565.18,2024-01-11,2024-03-02,1.0,pagado_aproximadamente_completo
C800017,385501.42,Adjudicación Simplificada,2025-02-10,services,Contratación de servicio de transporte,3,385501.42000000004,385501.42000000004,2025-02-18,2025-04-19,1.0000000000000002,pagado_aproximadamente_completo
C003293,73574.92,Adjudicación Simplificada,2025-06-29,goods,Adquisición de bienes de oficina,2,73574.92,73574.92,2025-07-24,2025-11-05,1.0,pagado_aproximadamente_completo
C001752,197140.4,Comparación de Precios,2024-05-08,goods,Adquisición de materiales de construcción,2,136281.3,136281.3,2024-06-17,2024-07-18,0.6912905726071368,pago_parcial
C700062,452958.47,Licitación Pública,2024-09-30,services,Servicio de limpieza y vigilancia,3,452958.47000000003,452958.47,2024-11-05,2024-11-27,1.0,pagado_aproximadamente_completo
C001780,117738.98,Adjudicación Simplificada,2024-10-25,goods,Adquisición de bienes de oficina,2,117738.98000000001,117738.98000000001,2024-11-11,2024-12-27,1.0000000000000002,pagado_aproximadamente_completo
C800032,56720.44,Adjudicación Simplificada,2025-01-05,services,Servicio de transporte,2,56720.44,56720.44,2025-02-17,2025-03-11,1.0,pagado_aproximadamente_completo
C003198,60754.73,Adjudicación Simplificada,2025-12-24,goods,Adquisición de materiales de construcción,2,63932.11,63932.11,2026-01-09,2026-02-03,1.0522984794764128,sobrepago_senal_revisar
C001983,218702.66,Comparación de Precios,2024-04-13,services,Servicio de capacitación,1,218702.66,218702.66,2024-05-13,2024-05-26,1.0,pagado_aproximadamente_completo
C000151,54540.64,Comparación de Precios,2024-04-26,goods,Suministro de combustible,2,32001.84,32001.84,2024-05-07,2024-06-04,0.5867521906600289,pago_parcial
C001808,715084.73,Adjudicación Simplificada,2025-09-12,services,Consultoría en ingeniería,1,513333.6,0.0,2025-10-10,,0.0,pendiente_sin_pago
C900236,472500.48,Contratación Directa,2025-09-21,services,Servicio de capacitación,2,472500.48,472500.48,2025-10-17,2025-11-13,1.0,pagado_aproximadamente_completo
C001157,28673.69,Licitación Pública,2024-09-06,works,Obra de rehabilitación vial,1,15878.07,15878.07,2024-10-20,2024-10-23,0.5537504939196873,pago_parcial
C002684,36246.37,Comparación de Precios,2024-11-29,services,Servicio de limpieza y vigilancia,1,22577.54,22577.54,2024-12-09,2024-12-15,0.6228910646776491,pago_parcial
C002986,141603.54,Licitación Pública,2025-09-29,services,Servicio de transporte,3,141603.53999999998,141603.54,2025-10-20,2025-12-05,1.0,pagado_aproximadamente_completo
C750051,150704.59,Adjudicación Simplificada,2025-11-21,services,Servicio de limpieza y vigilancia,2,150704.59,150704.59,2026-01-03,2026-02-10,1.0,pagado_aproximadamente_completo
C000497,42097.13,Comparación de Precios,2023-09-09,goods,Suministro de combustible,3,42097.130000000005,42097.130000000005,2023-10-12,2023-12-12,1.0000000000000002,pagado_aproximadamente_completo
C000457,60921.09,Comparación de Precios,2026-04-27,goods,Adquisición de equipos informáticos,2,60921.090000000004,60921.09,2026-05-12,2026-08-07,1.0,pagado_aproximadamente_completo
C001586,84526.22,Comparación de Precios,2023-06-19,goods,Adquisición de materiales de construcción,3,84526.22,84526.22,2023-06-24,2023-09-21,1.0,pagado_aproximadamente_completo
C750001,170386.92,Adjudicación Simplificada,2024-07-01,services,Servicio de limpieza y vigilancia,1,170386.92,170386.92,2024-07-28,2024-08-10,1.0,pagado_aproximadamente_completo
C001612,56075.45,Adjudicación Simplificada,2023-08-03,goods,Suministro de combustible,2,56075.45,56075.450000000004,2023-08-26,2023-12-02,1.0000000000000002,pagado_aproximadamente_completo
C800108,2232944.4,Adjudicación Simplificada,2025-01-09,works,Obra de rehabilitación de carretera,1,2232944.4,2232944.4,2025-02-16,2025-05-30,1.0,pagado_aproximadamente_completo
C003493,20510.05,Comparación de Precios,2026-03-12,goods,Adquisición de bienes de oficina,2,17475.28,17475.28,2026-04-07,2026-06-04,0.8520349779742126,pago_parcial
C000856,60628.1,Adjudicación Simplificada,2024-12-22,services,Servicio de capacitación,2,53715.53999999999,53715.54,2025-01-24,2025-02-26,0.8859842218377287,pago_parcial
C002225,15925.02,Adjudicación Simplificada,2024-02-14,goods,,1,15925.02,15925.02,2024-03-09,2024-03-20,1.0,pagado_aproximadamente_completo
C002321,64587.41,Adjudicación Simplificada,2025-12-11,goods,Suministro de combustible,2,64587.409999999996,64587.409999999996,2026-01-07,2026-02-19,0.9999999999999999,pagado_aproximadamente_completo
C000599,8816.98,Contratación Directa,2023-02-16,services,Consultoría en ingeniería,3,8816.98,8816.98,2023-03-24,2023-05-10,1.0,pagado_aproximadamente_completo
C000179,15294.65,Licitación Pública,2023-12-25,goods,Adquisición de equipos informáticos,1,5553.66,0.0,2023-12-31,,0.0,pendiente_sin_pago
C003125,81196.63,Licitación Pública,2025-10-17,goods,Adquisición de equipos informáticos,1,68415.94,68415.94,2025-11-14,2025-12-07,0.8425958072397832,pago_parcial
C000238,130948.43,Adjudicación Simplificada,2024-07-18,goods,Adquisición de materiales de construcción,1,97387.27,97387.27,2024-08-19,2024-08-25,0.7437070455903901,pago_parcial
