id_proveedor,ruc,razon_social,telefono,direccion
P0109,20171277663,Proveedor 0109 SAC,923517975,"Calle Los Pinos 377, Magdalena"
P0110,20788498970,Proveedor 0110 SAC,944342458,"Calle Los Pinos 187, Lince"
P0111,20617140560,Proveedor 0111 SAC,983470428,"Jr. Cusco 163, Magdalena"
P0112,20671246487,Proveedor 0112 SAC,946089828,"Av. Javier Prado 842, Pueblo Libre"
P0113,20608835992,Proveedor 0113 SAC,944150155,"Jr. Cusco 399, San Borja"
P0114,20598221459,Proveedor 0114 SAC,961784690,"Jr. Cusco 157, Surco"
P0115,20181509782,Proveedor 0115 SAC,998087308,"Av. Javier Prado 947, Magdalena"
P0116,20815421353,Proveedor 0116 SAC,945301876,"Av. Arequipa 271, Surco"
P0117,20373555087,Proveedor 0117 SAC,963099251,"Av. La Marina 773, Jesús María"
P0118,20642554418,Proveedor 0118 SAC,949553769,"Jr. Las Begonias 772, Lince"
P0119,20127736050,Proveedor 0119 SAC,964455062,"Calle Las Camelias 602, Miraflores"
P0120,20412749281,Proveedor 0120 SAC,950113801,"Calle Las Camelias 265, San Isidro"
P0121,20493045649,Proveedor 0121 SAC,967419691,"Av. Arequipa 505, Lince"
P0122,20984464553,Proveedor 0122 SAC,959243700,"Jr. Las Begonias 748, La Molina"
P0123,20348893497,Proveedor 0123 SAC,970880521,"Calle Las Camelias 671, Barranco"
P0124,20467675778,Proveedor 0124 SAC,996108832,"Av. Arequipa 857, San Isidro"
P0125,20868062764,Proveedor 0125 SAC,923570921,"Av. Arequipa 642, San Borja"
P0126,20131223668,Proveedor 0126 SAC,960547150,"Av. La Marina 676, Miraflores"
P0127,20152472467,Proveedor 0127 SAC,949628211,"Jr. Las Begonias 885, Magdalena"
P0128,20353245502,Proveedor 0128 SAC,942219590,"Av. Javier Prado 781, San Borja"
P0129,20925886917,Proveedor 0129 SAC,931560756,"Jr. Cusco 284, La Molina"
P0130,20364234381,Proveedor 0130 SAC,914703420,"Jr. Las Begonias 439, San Borja"
P0131,20490885124,Proveedor 0131 SAC,946224846,"Calle Los Pinos 528, San Isidro"
P0132,20695724862,Proveedor 0132 SAC,984354353,"Av. La Marina 859, La Molina"
P0133,20213652661,Proveedor 0133 SAC,918703368,"Av. Javier Prado 192, San Borja"
P0134,20601328936,Proveedor 0134 SAC,946549595,"Calle Las Camelias 592, San Isidro"
P0135,20554513945,Proveedor 0135 SAC,997104523,"Jr. Cusco 792, San Borja"
P0136,20805508387,Proveedor 0136 SAC,995632073,"Av. Los Álamos 846, Surco"
P0137,20697882185,Proveedor 0137 SAC,929350363,"Calle Las Camelias 426, San Borja"
P0138,20468267797,Proveedor 0138 SAC,910683189,"Av. Arequipa 223, San Isidro"
P0139,20465748174,Proveedor 0139 SAC,970458863,"Av. Arequipa 932, Barranco"
P0140,20476162870,Proveedor 0140 SAC,911283622,"Jr. Las Begonias 233, San Borja"
P0141,20832618345,Proveedor 0141 SAC,937037807,"Jr. Cusco 920, Pueblo Libre"
P0142,20389094158,Proveedor 0142 SAC,954735274,"Av. La Marina 927, Surco"
P0143,20250275627,Proveedor 0143 SAC,988666931,"Av. Los Álamos 490, San Isidro"
P0144,20400862297,Proveedor 0144 SAC,918357106,"Jr. Cusco 988, Miraflores"
P0145,20120440865,Proveedor 0145 SAC,969599325,"Av. Los Álamos 260, Miraflores"
P0146,20195528324,Proveedor 0146 SAC,957973001,"Av. Javier Prado 616, Barranco"
P0147,20181043074,Proveedor 0147 SAC,921845423,"Calle Los Pinos 933, Magdalena"
P0148,20794397171,Proveedor 0148 SAC,986105344,"Av. Arequipa 271, La Molina"
P0149,20750123414,Proveedor 0149 SAC,986056688,"Calle Las Camelias 775, Surco"
P0150,20727093712,Proveedor 0150 SAC,953442839,"Av. Arequipa 791, Miraflores"
P0151,20515689506,Proveedor 0151 SAC,995045334,"Av. Los Álamos 332, La Molina"
P0152,20745352660,Proveedor 0152 SAC,964617807,"Jr. Las Begonias 129, Miraflores"
P0153,20245144600,Proveedor 0153 SAC,991352510,"Av. La Marina 450, San Borja"
P0154,20550940296,Proveedor 0154 SAC,996452590,"Calle Los Pinos 747, Surco"
P0155,20944246251,Proveedor 0155 SAC,961274722,"Calle Los Pinos 755, San Isidro"
P0156,20547597067,Proveedor 0156 SAC,935276802,"Jr. Las Begonias 675, La Molina"
P0157,20726688336,Proveedor 0157 SAC,923091395,"Calle Las Camelias 327, Barranco"
P0158,20546063283,Proveedor 0158 SAC,960656343,"Jr. Cusco 321, San Isidro"
P0159,20501540647,Proveedor 0159 SAC,927321714,"Calle Los Pinos 769, Surco"
P0160,20249592684,Proveedor 0160 SAC,977519682,"Av. Javier Prado 212, La Molina"
P0161,20314889638,Proveedor 0161 SAC,993511510,"Av. Los Álamos 986, Jesús María"
P0162,20371360879,Proveedor 0162 SAC,932090088,"Av. Arequipa 210, Miraflores"
P0163,20715330595,Proveedor 0163 SAC,959709383,"Jr. Las Begonias 611, Pueblo Libre"
P0164,20646476787,Proveedor 0164 SAC,914424958,"Av. Javier Prado 535, Barranco"
P0165,20408331696,Proveedor 0165 SAC,926249724,"Jr. Las Begonias 248, Lince"
P0166,20206205311,Proveedor 0166 SAC,943945369,"Av. Arequipa 339, Surco"
P0167,20405049424,Proveedor 0167 SAC,989565119,"Av. Javier Prado 799, Surco"
P0168,20429637182,Proveedor 0168 SAC,997255656,"Av. Arequipa 564, Magdalena"
P0169,20917722620,Proveedor 0169 SAC,967741452,"Jr. Cusco 532, Jesús María"
P0170,20545559092,Proveedor 0170 SAC,962510784,"Calle Las Camelias 455, Barranco"
P0171,20729736419,Proveedor 0171 SAC,961272484,"Av. Arequipa 263, Pueblo Libre"
P0172,20339282964,Proveedor 0172 SAC,915455297,"Calle Los Pinos 261, Surco"
P0173,20787806506,Proveedor 0173 SAC,943865904,"Jr. Las Begonias 405, Miraflores"
P0174,20972258738,Proveedor 0174 SAC,998499278,"Av. Javier Prado 980, Barranco"
P0175,20337172374,Proveedor 0175 SAC,946985974,"Calle Las Camelias 319, Surco"
P0176,20800875812,Proveedor 0176 SAC,929198116,"Jr. Cusco 971, Pueblo Libre"
P0177,20335026000,Proveedor 0177 SAC,931554028,"Jr. Las Begonias 762, Jesús María"
P0178,20745201169,Proveedor 0178 SAC,974203118,"Calle Los Pinos 547, Jesús María"
P0179,20810105905,Proveedor 0179 SAC,913425155,"Calle Las Camelias 812, San Isidro"
P0180,20504425351,Proveedor 0180 SAC,997247708,"Av. Arequipa 383, San Borja"
P0181,20345017405,Proveedor 0181 SAC,988859691,"Av. Javier Prado 984, San Isidro"
P0182,20171328162,Proveedor 0182 SAC,961077896,"Av. Javier Prado 312, Barranco"
P0183,20186751865,Proveedor 0183 SAC,952095719,"Calle Los Pinos 868, Pueblo Libre"
P0184,20912342155,Proveedor 0184 SAC,978529447,"Av. Los Álamos 784, Magdalena"
P0185,20214819164,Proveedor 0185 SAC,959287167,"Av. Arequipa 987, Magdalena"
P0186,20510198660,Proveedor 0186 SAC,952946546,"Av. Arequipa 736, Surco"
P0187,20733628853,Proveedor 0187 SAC,938994697,"Av. Arequipa 729, Lince"
P0188,20282127027,Proveedor 0188 SAC,950206307,"Calle Las Camelias 761, San Borja"
P0189,20749454757,Proveedor 0189 SAC,977619242,"Av. La Marina 394, Miraflores"
P0190,20375360961,Proveedor 0190 SAC,914958830,"Av. Los Álamos 780, Magdalena"
P0191,20621297611,Proveedor 0191 SAC,912267718,"Jr. Las Begonias 454, Barranco"
P0192,20592216544,Proveedor 0192 SAC,974835757,"Av. Arequipa 636, Barranco"
P0193,20259095504,Proveedor 0193 SAC,943496674,"Av. La Marina 858, Barranco"
P0194,20516885317,Proveedor 0194 SAC,982335906,"Av. Javier Prado 239, Surco"
P0195,20870952854,Proveedor 0195 SAC,912731526,"Av. Javier Prado 351, San Isidro"
P0196,20117571592,Proveedor 0196 SAC,991648434,"Jr. Las Begonias 967, San Borja"
P0197,20747516659,Proveedor 0197 SAC,921060289,"Av. Javier Prado 494, Pueblo Libre"
P0198,20696968210,Proveedor 0198 SAC,939174930,"Av. Los Álamos 353, Jesús María"
P0199,20488883735,Proveedor 0199 SAC,997043340,"Av. Arequipa 514, Magdalena"
P0200,20377800480,Proveedor 0200 SAC,919765425,"Av. Arequipa 678, Pueblo Libre"
P0201,20664577955,Proveedor 0201 SAC,969198465,"Calle Las Camelias 296, La Molina"
P0202,20625688171,Proveedor 0202 SAC,975509605,"Jr. Las Begonias 473, San Isidro"
P0203,20684861940,Proveedor 0203 SAC,948539821,"Jr. Cusco 311, Pueblo Libre"
P0204,20665870757,Proveedor 0204 SAC,917112178,"Jr. Cusco 401, La Molina"
P0205,20175999888,Proveedor 0205 SAC,957136609,"Jr. Cusco 474, Surco"
P0206,20781739105,Proveedor 0206 SAC,949001436,"Av. Los Álamos 595, Jesús María"
P0207,20474226661,Proveedor 0207 SAC,988552827,"Av. Arequipa 216, San Isidro"
P0208,20808197811,Proveedor 0208 SAC,971405136,"Jr. Cusco 754, Magdalena"
P0209,20137452756,Proveedor 0209 SAC,993059156,"Av. Los Álamos 689, Barranco"
P0210,20261510848,Proveedor 0210 SAC,915223608,"Av. Arequipa 521, La Molina"
P0211,20544591736,Proveedor 0211 SAC,963126187,"Calle Los Pinos 149, Magdalena"
P0212,20269402654,Proveedor 0212 SAC,935163529,"Av. Javier Prado 570, Barranco"
P0213,20396875090,Proveedor 0213 SAC,982012532,"Jr. Cusco 962, San Isidro"
P0214,20694539138,Proveedor 0214 SAC,987743859,"Calle Las Camelias 605, La Molina"
P0215,20230071769,Proveedor 0215 SAC,941987239,"Av. Javier Prado 132, Barranco"
P0216,20709932646,Proveedor 0216 SAC,991303780,"Jr. Cusco 135, Barranco"
P0217,20193062670,Proveedor 0217 SAC,956718863,"Calle Los Pinos 206, Lince"
P0218,20628880114,Proveedor 0218 SAC,957774881,"Av. Los Álamos 595, Magdalena"
P0219,20814134910,Proveedor 0219 SAC,978872263,"Av. Los Álamos 811, Jesús María"
